"Daily Weather Observations for Walpole, Western Australia for August 2025"
"Prepared at 13:03 UTC on Monday  1 September 2025   IDCJDW6138.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from North Walpole."
"The North Walpole observation site is approximately 3 kilometres north-northwest of Walpole and at higher elevation, so significantly different conditions may be experienced at the two places on particular days."
"Observations were drawn from North Walpole {station 009998}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,10.0,18.6,0.2,,,N,57,22:56,12.5,57,,N,17,1020.0,18.1,46,,NNW,26,1013.2
,2025-08-2,11.5,15.2,17.6,,,NW,67,23:37,11.7,96,,N,13,1002.7,13.0,88,,NW,20,999.5
,2025-08-3,7.8,11.1,26.8,,,WSW,61,15:37,8.0,81,,WNW,30,998.0,8.8,78,,WNW,19,1001.0
,2025-08-4,7.1,14.8,11.8,,,W,48,13:50,9.9,92,,NW,15,1015.3,13.3,77,,NW,24,1013.7
,2025-08-5,9.7,15.6,5.0,,,WNW,46,00:01,10.9,96,,WNW,7,1019.8,13.4,59,,SSW,9,1020.5
,2025-08-6,4.4,16.7,0,,,NNE,26,23:55,8.7,99,, ,Calm,1025.3,15.3,55,,SE,4,1022.9
,2025-08-7,8.6,19.0,0.2,,,NNW,33,13:43,12.3,71,,NNE,13,1023.2,18.5,46,,N,15,1019.2
,2025-08-8,10.7,18.6,0,,,NNW,50,12:00,14.3,50,,NNE,30,1012.2,15.1,71,,N,24,1007.8
,2025-08-9,12.5,18.8,1.2,,,NW,56,10:59,15.3,84,,N,17,1008.6,17.9,66,,WNW,20,1005.5
,2025-08-10,8.4,15.3,8.0,,,NW,46,23:22,12.3,79,,WNW,7,1012.8,13.6,68,,WNW,20,1013.4
,2025-08-11,10.2,17.8,3.6,,,NW,46,01:00,12.3,96,,NW,20,1018.2,16.5,79,,NW,15,1017.5
,2025-08-12,12.2,20.0,2.6,,,NW,35,10:26,14.8,81,,NNW,17,1020.5,19.2,61,,NW,13,1018.3
,2025-08-13,13.3,24.8,0,,,NNW,81,15:22,16.7,46,,NNE,22,1009.4,23.6,42,,NW,35,1001.4
,2025-08-14,7.9,14.1,20.6,,,WSW,57,04:30,9.0,83,,WSW,28,1018.8,13.4,53,,SW,19,1023.5
,2025-08-15,7.1,15.7,0.8,,,W,41,14:47,11.5,82,,NW,11,1028.1,14.6,70,,WNW,20,1026.6
,2025-08-16,7.5,17.5,3.0,,,NNW,24,00:05,11.6,98,,W,4,1028.5,15.9,68,,WSW,2,1026.4
,2025-08-17,7.2,18.2,0,,,NE,30,11:29,11.0,92,,NE,9,1028.3,17.5,50,,NE,11,1023.9
,2025-08-18,10.9,20.5,0,,,NE,35,01:58,15.5,44,,NNE,17,1016.0,20.0,45,,WNW,11,1011.4
,2025-08-19,13.9,16.6,9.8,,,NW,61,04:09,14.7,93,,NW,20,1006.0,15.1,80,,W,17,1004.9
,2025-08-20,11.3,16.7,13.0,,,WSW,63,13:03,13.8,72,,NNW,26,999.9,12.1,90,,W,19,1001.4
,2025-08-21,6.5,15.8,15.4,,,W,57,14:59,10.3,81,,NW,19,1013.4,13.5,71,,WNW,28,1013.4
,2025-08-22,9.9,17.6,4.8,,,WNW,33,18:42,12.4,87,,NW,13,1020.1,14.3,91,,WNW,9,1018.1
,2025-08-23,8.4,19.5,3.0,,,NW,39,12:17,13.0,76,,NNE,11,1014.6,18.4,55,,NW,13,1007.3
,2025-08-24,11.0,15.4,0,,,NW,57,11:21,13.5,82,,NNW,20,997.5,12.5,87,,WSW,11,994.6
,2025-08-25,5.4,13.3,13.6,,,WSW,61,13:37,9.2,84,,WNW,13,1000.6,9.6,84,,W,13,1002.0
,2025-08-26,8.0,14.3,14.0,,,SW,57,00:08,10.2,88,,SW,17,1015.6,10.9,82,,SW,15,1018.7
,2025-08-27,5.2,16.7,1.0,,,NW,31,12:38,10.4,85,,NW,13,1020.6,15.0,59,,WSW,13,1018.3
,2025-08-28,8.9,15.1,2.6,,,SSW,35,09:11,11.5,81,,SW,13,1024.2,13.6,72,,SSW,13,1025.4
,2025-08-29,10.7,15.6,0.2,,,SE,20,14:36,12.4,70,,S,9,1034.8,14.2,62,,SE,11,1034.1
,2025-08-30,4.9,17.3,0,,,N,48,07:01,11.5,77,,N,11,1034.7,15.9,52,,W,13,1031.6
,2025-08-31,7.8,18.5,0,,,NW,33,13:29,13.1,69,,N,7,1028.8,17.4,54,,WNW,15,1024.7
