"Daily Weather Observations for Hobart, Tasmania for April 2024"
"Prepared at 16:03 UTC on Thursday  7 November 2024   IDCJDW7021.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,13.0,20.3,0.2,,,ESE,28,12:30,14.0,84,,NW,15,1017.4,19.2,64,,SE,17,1014.8
,2024-04-2,14.0,17.4,9.8,,,SSW,59,22:40,15.7,97,,SSW,6,1001.5,14.9,92,,SSW,6,999.8
,2024-04-3,7.8,16.4,18.0,,,SW,54,23:04,10.1,60,,SW,22,1018.6,15.0,42,,WNW,13,1019.2
,2024-04-4,6.8,18.1,0,,,NE,26,11:08,11.0,69,,NNW,6,1026.4,16.8,51,,SE,9,1025.9
,2024-04-5,7.9,19.6,0,,,SE,28,15:39,10.3,81,,NNW,19,1031.9,18.1,48,,SE,19,1030.1
,2024-04-6,10.2,23.1,0,,,NNW,28,08:34,13.1,80,,NNW,17,1027.9,20.8,50,,ESE,11,1022.2
,2024-04-7,13.0,16.8,0.8,,,NW,17,00:32,14.4,85,,S,6,1013.6,16.6,84,,N,9,1008.8
,2024-04-8,12.1,19.5,2.8,,,NW,46,12:12,15.6,67,,NNW,20,1004.7,17.4,45,,W,11,1003.1
,2024-04-9,6.6,17.0,0,,,NW,50,13:38,12.4,53,,NW,24,1013.0,16.7,37,,W,20,1012.2
,2024-04-10,9.5,19.8,0.2,,,SSW,39,22:30,14.8,62,,ENE,9,1015.5,18.5,46,,SSW,20,1014.0
,2024-04-11,8.8,16.4,0,,,SW,31,01:04,12.4,69,,N,9,1021.9,15.0,57,,SE,15,1020.3
,2024-04-12,8.8,21.2,0,,,NW,48,09:07,13.4,65,,NNW,26,1017.0,20.0,41,,WNW,17,1015.2
,2024-04-13,13.4,22.7,0,,,NNW,41,00:04,17.5,57,,NNW,24,1017.5,21.4,46,,NW,20,1016.8
,2024-04-14,12.6,24.2,0,,,NNW,48,14:15,17.4,62,,NNW,19,1018.0,21.6,44,,NW,24,1016.3
,2024-04-15,14.8,20.4,0,,,N,41,04:36,17.3,64,,NW,17,1017.3,16.0,58,,SW,26,1017.5
,2024-04-16,10.9,16.7,0,,,SW,35,12:17,12.7,66,,SSE,6,1023.1,15.3,49,,SSW,17,1022.3
,2024-04-17,6.4,19.5,0,,,NW,52,23:59,11.1,69,,NNW,15,1027.4,19.0,40,,NW,19,1022.6
,2024-04-18,10.9,18.7,0,,,NNW,54,05:17,13.7,60,,NNW,30,1012.2,17.9,51,,WSW,7,1007.0
,2024-04-19,10.0,15.6,1.0,,,SW,43,00:34,12.9,64,,SSW,20,1023.3,14.9,51,,ESE,15,1024.5
,2024-04-20,6.6,20.3,0,,,NNW,35,13:59,11.6,68,,NNE,6,1027.8,20.0,37,,NNW,17,1024.8
,2024-04-21,8.3,20.3,0,,,NW,28,15:48,13.3,64,,S,6,1026.3,19.2,46,,SE,9,1023.9
,2024-04-22,9.1,21.6,0,,,NNW,28,10:08,12.7,73,,NNW,17,1023.3,19.3,47,,ESE,15,1018.8
,2024-04-23,10.4,21.6,0,,,NW,37,05:22,13.2,52,,NNW,22,1015.6,21.6,33,,NNE,6,1009.7
,2024-04-24,8.6,15.5,4.0,,,WSW,63,11:43,9.8,56,,WSW,19,1013.4,14.8,45,,NW,28,1012.4
,2024-04-25,9.7,15.1,0,,,SW,59,14:20,11.6,57,,WSW,33,1016.0,14.4,48,,SW,24,1017.1
,2024-04-26,9.0,19.5,0,,,NNW,43,14:06,13.6,59,,NNW,17,1020.7,18.0,44,,NNW,20,1019.8
,2024-04-27,7.1,18.7,0,,,NE,26,13:53,11.8,70,,NNW,15,1023.9,17.6,48,,NE,19,1021.1
,2024-04-28,8.3,19.3,0,,,NW,59,18:25,9.6,80,,NNW,20,1021.6,19.1,39,,NNE,13,1015.0
,2024-04-29,9.5,15.6,0,,,WNW,61,04:09,13.1,46,,WNW,13,1014.8,13.2,47,,SSW,22,1019.6
,2024-04-30,8.6,14.6,0,,,NNW,52,00:28,11.4,63,,WSW,11,1028.1,13.3,62,,SW,19,1029.4
