"Daily Weather Observations for Hobart, Tasmania for August 2024"
"Prepared at 13:03 UTC on Sunday  3 November 2024   IDCJDW7021.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport West."
"Hobart Airport West {station 94008} was originally called Hobart Airport. The name was changed with the opening of the new site Hobart Airport {station 94250}."
"Temperature, humidity, wind, pressure and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Cloud, evaporation and sunshine observations are from Hobart Airport West {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,3.6,12.5,0,,,NW,28,06:47,5.6,81,,NNW,6,1038.5,11.6,66,,NNW,11,1035.6
,2024-08-2,3.5,15.4,0,,,NNW,35,14:05,6.1,85,,N,9,1031.3,14.4,44,,NNW,24,1026.0
,2024-08-3,6.1,14.9,0,,,NNW,37,11:43,9.4,67,,NNW,24,1022.4,14.1,48,,W,15,1022.5
,2024-08-4,5.6,15.2,0,,,NW,44,15:14,9.5,72,,NNW,20,1020.1,13.5,48,,NW,26,1018.5
,2024-08-5,7.2,15.8,0.2,,,NW,50,15:13,10.4,64,,N,19,1018.3,15.0,40,,NW,22,1015.7
,2024-08-6,9.0,15.8,0,,,NW,85,13:05,10.8,60,,NNW,22,1012.7,11.9,63,,NW,41,1007.9
,2024-08-7,9.4,15.9,0.8,,,W,72,01:18,12.7,56,,NNW,11,1015.9,13.8,54,,NW,20,1018.2
,2024-08-8,8.6,15.1,0,,,NNW,48,12:29,9.3,72,,NNW,15,1019.1,14.6,49,,NNW,24,1014.9
,2024-08-9,8.1,16.4,0.6,,,NNW,57,22:48,11.6,60,,NNW,17,1020.3,15.6,40,,NNW,22,1019.2
,2024-08-10,10.6,18.0,0.2,,,NW,69,22:56,12.4,61,,N,26,1022.4,16.7,50,,NNW,22,1021.1
,2024-08-11,12.4,18.9,0,,,WNW,72,04:44,14.1,61,,NNE,20,1024.7,17.5,42,,NW,24,1024.5
,2024-08-12,6.8,16.6,0,,,N,41,11:59,9.0,73,,N,19,1027.5,16.3,44,,N,13,1023.4
,2024-08-13,9.0,21.0,0,,,N,31,15:03,12.1,64,,N,6,1020.9,18.7,48,,N,15,1016.9
,2024-08-14,12.0,19.3,0.4,,,N,37,00:15,14.2,73,,NNW,13,1015.2,18.0,49,,N,13,1013.7
,2024-08-15,8.1,15.0,0.2,,,NW,24,08:19,10.4,84,,NNW,9,1017.6,13.7,77,,ESE,11,1015.3
,2024-08-16,10.4,13.8,2.8,,,NNW,24,07:47,11.6,95,,NNW,13,1010.9,13.4,84,,SSE,6,1007.9
,2024-08-17,10.7,11.9,5.0,,,S,57,14:39,11.8,96,,SSE,26,1007.1,9.1,84,,S,33,1011.2
,2024-08-18,5.9,10.3,4.6,,,SSW,35,09:20,7.8,72,,SSW,13,1019.7,9.7,60,,SW,13,1019.4
,2024-08-19,3.3,12.9,0,,,NNW,35,08:34,5.6,79,,NNW,22,1024.7,10.8,57,,SE,11,1022.6
,2024-08-20,4.3,12.5,0,,,NNW,35,10:52,7.1,80,,NNW,19,1018.8,10.9,74,,NW,13,1013.5
,2024-08-21,7.1,17.7,2.4,,,NNW,46,12:34,10.8,82,,N,15,1002.7,17.5,43,,WNW,24,1002.4
,2024-08-22,9.5,16.0,0,,,NW,87,14:54,11.0,56,,N,24,1006.1,11.6,60,,WNW,50,1004.7
,2024-08-23,8.9,17.1,4.0,,,NW,78,08:55,14.2,52,,NW,43,1010.1,16.2,52,,NW,24,1012.8
,2024-08-24,9.1,12.0,2.2,,,NNW,26,01:57,10.0,94,,ESE,6,1008.7,11.5,89,,ESE,7,1005.9
,2024-08-25,9.9,19.7,5.0,,,N,37,15:36,12.0,86,,NNW,15,1006.9,17.5,63,,NNE,20,1000.7
,2024-08-26,10.7,17.3,1.4,,,WNW,67,13:15,13.5,60,,NNE,11,999.3,17.0,49,,N,24,1001.1
,2024-08-27,12.5,19.9,0,,,NW,96,11:05,16.3,55,,NNW,35,999.5,18.6,39,,NNW,52,992.2
,2024-08-28,6.9,12.5,16.6,,,NW,76,22:06,8.0,70,,NW,37,984.7,10.1,57,,WNW,37,986.7
,2024-08-29,5.4,14.9,11.0,,,WNW,74,04:58,8.9,67,,N,20,1000.3,13.8,44,,NW,24,998.7
,2024-08-30,8.8,14.1,15.8,,,NW,83,10:14,12.8,51,,WNW,28,981.2,12.3,54,,WNW,35,981.5
,2024-08-31,5.4,11.9,17.2,,,WNW,91,19:15,6.5,75,,NW,31,984.2,9.4,57,,NW,41,984.5
