"Daily Weather Observations for Launceston, Tasmania for October 2023"
"Prepared at 13:03 UTC on Wednesday 13 November 2024   IDCJDW7025.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,10.6,21.9,0,,,WSW,57,12:22,16.7,70,6,NW,13,,18.5,42,,W,22,
,2023-10-2,3.0,18.1,0,,,N,48,10:37,8.3,74,,NE,2,,16.8,46,,NNW,28,
,2023-10-3,6.4,16.6,4.8,,,NNW,46,10:49,12.2,95,8, ,Calm,,16.2,76,8,NNW,17,
,2023-10-4,9.4,13.2,4.8,,,SE,48,15:41,11.5,72,8,SE,20,,12.9,69,8,SSE,28,
,2023-10-5,9.6,18.4,0.4,,,SSW,46,21:09,10.8,66,8,SE,13,,17.8,39,8,W,15,
,2023-10-6,2.3,16.4,0,,,SSW,30,14:03,6.9,70,,N,2,,15.1,38,,S,13,
,2023-10-7,2.0,18.6,0,,,NNW,26,16:20,9.2,62,,ESE,2,,16.6,36,,S,9,
,2023-10-8,3.1,18.6,0,,,NW,30,17:28,9.0,72,,ENE,2,,18.0,48,,NW,19,
,2023-10-9,4.4,20.1,0,,,NW,22,14:45,10.2,80,8,ENE,6,,19.4,42,8,WNW,6,
,2023-10-10,4.6,18.9,0,,,NNW,30,15:51,12.8,55,,SSE,9,,18.4,51,1,NW,15,
,2023-10-11,7.9,17.3,0,,,NW,39,14:06,11.2,78,8,NNW,17,,16.3,55,,NW,26,
,2023-10-12,10.8,17.2,0.4,,,NNW,37,14:28,14.9,75,8,NW,15,,15.4,66,8,NW,17,
,2023-10-13,6.5,19.6,1.4,,,W,39,16:14,12.1,78,6,N,7,,18.0,35,4,W,15,
,2023-10-14,11.5,18.8,0,,,WNW,67,13:03,13.8,67,7,NNW,26,,16.7,44,,W,37,
,2023-10-15,4.0,15.0,0,,,NNW,43,14:38,9.5,65,4,NNW,17,,14.6,64,7,NNW,13,
,2023-10-16,4.4,18.3,0,,,SE,50,17:06,10.9,65,,ESE,7,,16.9,36,1,S,24,
,2023-10-17,1.3,16.5,0,,,NW,35,13:54,8.4,62,,ENE,2,,15.7,43,,NNW,24,
,2023-10-18,3.9,20.0,0,,,WNW,41,16:27,10.2,85,3,NNW,7,,18.7,30,,NW,26,
,2023-10-19,6.7,22.7,0,,,NNW,35,15:16,12.2,77,,N,4,,21.7,41,,NNW,22,
,2023-10-20,8.0,25.6,0,,,NNW,30,15:02,12.0,97,, ,Calm,,24.5,34,,NNW,19,
,2023-10-21,11.7,22.2,0,,,NW,37,19:51,14.2,76,8,NNW,6,,20.3,63,4,W,6,
,2023-10-22,9.2,18.0,14.6,,,NW,43,15:15,12.2,86,8,SSE,6,,17.1,54,8,NE,9,
,2023-10-23,9.4,23.6,3.2,,,S,30,16:03,14.2,76,1,ENE,2,,23.0,41,8,S,11,
,2023-10-24,10.6,,0,,,,,,14.4,78,1,NW,17,,17.3,64,8,NNW,37,
,2023-10-25,7.5,16.0,0,,,NNW,48,23:26,11.0,56,,NW,13,,15.7,38,7,SSW,20,
,2023-10-26,1.2,18.8,0,,,SE,41,16:33,11.6,47,,NNE,6,,18.3,31,,SSW,17,
,2023-10-27,2.0,18.8,0,,,NW,31,15:27,11.0,57,,ESE,13,,17.6,30,,N,7,
,2023-10-28,7.2,18.9,0,,,NNW,52,20:41,13.2,67,7,NW,7,,16.7,62,8,N,20,
,2023-10-29,5.7,17.1,0,,,NNW,43,13:48,13.0,60,,NNW,11,,16.1,48,,NNW,26,
,2023-10-30,10.5,14.9,,,,NNW,57,09:27,12.4,93,8,NW,24,,14.1,75,8,NNW,22,
,2023-10-31,7.1,18.9,7.4,,,W,41,11:13,10.9,61,6,NW,13,,17.3,33,5,W,13,
