"Daily Weather Observations for Launceston, Tasmania for January 2024"
"Prepared at 13:03 UTC on Sunday 10 November 2024   IDCJDW7025.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,9.9,25.6,0,,,NW,33,14:47,18.3,66,,NNE,4,,23.9,49,3,NNW,15,
,2024-01-2,16.7,29.4,0,,,S,31,15:56,20.9,65,8,SE,11,,28.4,41,1,S,19,
,2024-01-3,17.0,31.6,0,,,NW,37,14:10,22.9,63,,SE,9,,30.0,35,4,S,6,
,2024-01-4,15.7,26.2,14.4,,,SE,44,06:55,18.5,56,,SE,26,,24.7,38,,S,7,
,2024-01-5,16.3,26.2,0.2,,,NW,35,16:00,17.6,76,8,WNW,6,,24.9,47,8,NW,15,
,2024-01-6,14.0,27.0,0,,,WNW,35,15:29,19.8,73,1,WNW,7,,25.5,45,,NNW,20,
,2024-01-7,16.1,29.1,0,,,NNW,35,15:57,21.6,58,7,SSW,6,,28.2,44,8,N,17,
,2024-01-8,16.7,19.5,8.4,,,SSE,56,16:20,16.8,89,8,SSE,26,,18.1,72,8,SSE,30,
,2024-01-9,13.4,27.0,2.2,,,SSE,39,23:15,17.0,57,,SE,20,,24.8,35,,N,9,
,2024-01-10,16.5,24.3,0,,,NNW,50,14:59,18.5,73,6,NW,17,,24.1,59,3,NNW,28,
,2024-01-11,12.1,27.6,0,,,NW,39,15:54,18.5,56,,N,6,,25.5,47,,NNW,22,
,2024-01-12,14.3,27.8,0,,,NW,33,15:05,19.9,67,2,NNW,9,,26.5,38,,WNW,20,
,2024-01-13,17.6,27.1,0.6,,,NW,41,15:24,20.7,51,4,SSE,22,,25.9,29,,NW,7,
,2024-01-14,13.7,27.2,0,,,NW,37,15:54,17.2,40,,SSE,17,,25.9,26,,NNE,4,
,2024-01-15,13.5,25.4,0,,,NNW,31,16:43,18.2,56,1,SSE,6,,23.0,49,6,NNW,19,
,2024-01-16,12.0,26.5,0,,,N,39,13:52,20.2,65,5,NW,9,,26.0,48,8,N,19,
,2024-01-17,17.3,21.8,0,,,NW,48,17:49,21.8,75,8,N,22,,15.5,91,8,NNW,17,
,2024-01-18,12.1,19.6,30.6,,,NW,50,11:50,16.2,72,8,NW,19,,16.7,68,8,NNW,26,
,2024-01-19,10.8,28.1,0.8,,,SSW,31,11:16,18.1,63,1,NNW,9,,26.4,32,1,W,7,
,2024-01-20,15.6,21.5,0,,,NW,30,09:33,19.1,74,8,NW,13,,19.1,66,8,WNW,11,
,2024-01-21,11.7,26.2,0,,,S,43,13:15,18.1,73,7,SE,13,,23.1,49,6,SE,20,
,2024-01-22,12.0,23.8,0,,,ESE,39,08:21,15.7,54,,SE,22,,21.3,33,,SSW,11,
,2024-01-23,12.2,21.0,0,,,N,31,17:36,14.2,71,8,SE,7,,19.4,52,8,WNW,6,
,2024-01-24,14.1,28.3,0,,,NNW,44,15:51,19.0,56,8,ESE,9,,27.0,52,,NNW,17,
,2024-01-25,11.6,23.7,0,,,NNW,52,15:07,17.8,64,,NNW,17,,22.5,58,1,NNW,28,
,2024-01-26,15.2,23.4,0,,,W,56,16:46,18.2,52,1,WNW,20,,21.5,39,4,W,26,
,2024-01-27,12.2,22.2,0,,,NW,63,14:21,16.8,60,1,NNW,24,,21.3,54,8,NW,37,
,2024-01-28,11.6,24.0,0,,,NNW,43,13:50,16.9,63,,NNW,19,,22.8,62,8,NNW,28,
,2024-01-29,16.2,24.4,0,,,NNW,43,13:20,17.7,84,8,NNW,15,,23.0,60,,NNW,28,
,2024-01-30,11.6,23.8,0,,,NW,41,12:39,16.9,49,1,ESE,4,,22.5,54,2,NW,26,
,2024-01-31,9.3,25.9,0,,,NNW,35,16:21,14.0,78,8,NW,7,,25.1,35,,NW,17,
