"Daily Weather Observations for Launceston, Tasmania for February 2024"
"Prepared at 13:03 UTC on Saturday  9 November 2024   IDCJDW7025.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,14.0,25.5,0,,,WNW,57,13:51,18.4,74,8,NNW,28,,24.6,38,1,W,31,
,2024-02-2,7.9,24.2,0,,,SW,46,12:59,17.5,41,,WSW,11,,23.2,25,,WSW,26,
,2024-02-3,6.7,22.1,0,,,NNW,52,16:06,14.9,66,,NNW,20,,21.4,58,,NNW,30,
,2024-02-4,14.8,27.3,0,,,NW,31,12:57,19.1,75,7,NNW,17,,26.3,43,2,NW,24,
,2024-02-5,16.9,27.6,2.8,,,NNW,37,13:46,20.4,73,6,NNW,11,,24.8,36,,NNW,24,
,2024-02-6,13.6,24.0,0,,,WNW,44,17:35,16.4,47,8,SE,13,,22.6,27,2,NW,11,
,2024-02-7,8.5,24.5,0,,,NW,30,17:54,14.6,63,,NW,2,,23.8,39,,NW,15,
,2024-02-8,10.4,23.5,0,,,NW,35,12:16,16.2,72,,N,2,,23.1,46,,NW,19,
,2024-02-9,11.6,28.3,0,,,SSE,44,22:06,15.8,87,8,NNW,7,,26.3,32,,S,15,
,2024-02-10,11.6,24.9,0,,,SSE,43,07:45,14.1,48,5,SSE,26,,24.3,33,,N,9,
,2024-02-11,10.3,25.2,0,,,NNW,30,11:51,16.5,63,8,SE,6,,23.3,54,3,N,17,
,2024-02-12,13.9,28.0,0,,,NW,43,15:44,17.5,89,7,N,2,,26.8,34,,NNW,26,
,2024-02-13,13.8,28.4,0,,,NNW,65,18:55,18.1,78,,NNE,2,,21.9,86,7,WNW,9,
,2024-02-14,9.7,22.6,3.4,,,NW,35,23:43,15.1,55,,NE,6,,21.0,35,,NW,11,
,2024-02-15,7.5,23.3,0,,,NNW,41,13:15,12.6,64,,NNW,2,,21.6,48,,NNW,15,
,2024-02-16,11.7,25.9,0,,,NW,33,16:20,16.8,72,,E,4,,25.6,44,,NNW,11,
,2024-02-17,12.2,26.3,0,,,NW,37,15:49,16.4,77,8, ,Calm,,25.6,48,,NW,22,
,2024-02-18,11.7,27.9,0,,,NNW,30,15:08,17.6,69,,E,6,,26.2,49,,NNW,17,
,2024-02-19,13.8,28.9,0,,,NNW,39,16:17,19.5,56,,SSE,20,,26.7,47,,NNW,20,
,2024-02-20,16.3,,0,,,NW,24,16:05,18.5,66,7,ENE,2,,,,8,NNW,4,
,2024-02-21,,28.7,2.2,,,NNE,39,13:32,,,8,ESE,6,,27.8,51,8,N,19,
,2024-02-22,21.1,30.9,0,,,NW,56,15:34,22.6,78,7,NW,9,,30.1,40,,NNW,30,
,2024-02-23,14.3,23.7,0,,,W,44,15:00,17.3,63,5,NW,17,,22.0,37,2,WNW,24,
,2024-02-24,8.4,25.9,0,,,NW,33,14:55,14.3,65,,N,4,,24.8,36,,NNW,20,
,2024-02-25,14.4,23.2,0,,,NW,50,13:58,17.1,80,8,NNW,7,,20.3,57,7,NW,31,
,2024-02-26,10.6,24.7,0,,,NNW,37,17:26,14.8,44,,SSE,20,,22.8,25,,ENE,11,
,2024-02-27,11.1,26.1,0,,,N,37,14:57,17.4,57,8,SE,4,,24.2,36,3,NW,17,
,2024-02-28,15.4,30.1,0,,,NW,46,16:47,19.7,67,8,SE,6,,27.4,51,6,NW,6,
,2024-02-29,18.6,28.3,0.8,,,NNW,52,01:05,20.1,76,3,NNW,24,,27.7,31,,NW,19,
