"Daily Weather Observations for Launceston, Tasmania for March 2024"
"Prepared at 13:03 UTC on Friday  8 November 2024   IDCJDW7025.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,11.1,24.0,0.2,,,NNW,48,15:15,16.8,65,,NW,9,,22.2,51,4,NNW,28,
,2024-03-2,12.6,22.7,0,,,NNW,35,16:59,15.9,37,,SSW,19,,21.7,30,,NNW,13,
,2024-03-3,10.5,22.4,0,,,WNW,50,09:10,16.8,65,,NNW,26,,20.1,29,8,S,24,
,2024-03-4,5.5,23.1,0,,,NW,31,17:10,12.0,48,,SSE,9,,20.9,24,,SE,9,
,2024-03-5,6.9,23.5,0,,,NW,31,16:30,10.3,73,8,E,2,,22.7,42,,NW,13,
,2024-03-6,10.3,26.4,0,,,NNW,44,13:48,15.5,85,,N,2,,24.5,53,,NW,30,
,2024-03-7,9.1,25.3,0,,,NW,31,17:06,13.1,63,,E,6,,24.9,42,,NW,13,
,2024-03-8,11.2,27.1,0,,,NW,30,16:15,16.3,74,4,E,4,,26.1,43,,NW,13,
,2024-03-9,14.0,28.6,0,,,N,37,12:05,20.0,66,8,ESE,6,,27.2,66,,NW,22,
,2024-03-10,15.8,30.5,0,,,NW,30,12:32,18.7,92,7, ,Calm,,28.0,52,8,NW,11,
,2024-03-11,18.8,29.6,0.8,,,NW,30,16:08,20.4,91,8,SE,2,,29.2,47,4,WNW,20,
,2024-03-12,19.0,28.3,0,,,SE,39,09:49,21.8,79,,NE,4,,26.6,23,,SE,7,
,2024-03-13,12.8,24.0,0,,,WNW,28,17:16,14.9,66,8,E,7,,22.9,48,3,NNW,11,
,2024-03-14,14.4,24.9,1.0,,,SSE,35,08:13,14.9,68,8,SSE,22,,22.9,27,,SSE,13,
,2024-03-15,8.7,23.7,0,,,NNW,33,16:06,11.8,67,,ENE,7,,22.7,36,,N,11,
,2024-03-16,9.9,24.6,0,,,WNW,28,15:30,14.3,75,,NE,2,,23.3,41,,WNW,13,
,2024-03-17,12.8,26.9,0,,,NNW,31,15:26,15.6,71,8,E,6,,26.4,40,7,N,6,
,2024-03-18,15.2,27.0,0,,,N,46,12:22,20.2,73,8,W,2,,25.2,40,5,N,24,
,2024-03-19,19.7,24.8,0,,,NNW,43,16:02,21.9,79,7,WNW,19,,23.4,70,8,NW,24,
,2024-03-20,10.9,18.0,12.0,,,SSW,43,13:59,11.0,81,8,SSE,13,,15.3,47,6,SSW,22,
,2024-03-21,4.7,21.5,0.4,,,NW,30,17:10,8.6,77,, ,Calm,,20.5,46,3,NNW,15,
,2024-03-22,8.3,21.7,0,,,NNW,33,15:16,13.9,84,1,NNW,11,,21.0,51,4,N,17,
,2024-03-23,9.3,21.9,0,,,NW,41,15:12,11.3,69,1,E,7,,21.1,46,2,NNW,22,
,2024-03-24,11.3,22.1,0,,,NNW,46,08:52,15.2,72,8,NW,22,,21.0,44,8,WNW,22,
,2024-03-25,14.4,23.3,0,,,NW,54,10:55,16.6,73,,NNW,28,,21.4,42,1,WNW,20,
,2024-03-26,12.2,24.0,0,,,WSW,35,15:08,15.1,67,5,NW,17,,23.0,36,7,WSW,20,
,2024-03-27,7.2,23.6,0,,,NNW,28,16:53,10.2,82,,E,7,,22.2,29,,N,6,
,2024-03-28,7.4,23.8,0,,,NNW,31,16:38,11.1,76,,ENE,7,,23.2,41,,N,11,
,2024-03-29,8.3,24.4,0,,,NW,31,16:13,12.5,90,1, ,Calm,,23.7,46,,NW,17,
,2024-03-30,11.1,26.1,0,,,NW,28,16:31,16.0,81,7,ENE,2,,24.7,41,,NNE,4,
,2024-03-31,11.1,23.9,0,,,NW,30,16:00,15.1,84,8,ESE,2,,22.3,51,,NW,13,
