"Daily Weather Observations for Launceston, Tasmania for February 2025"
"Prepared at 13:03 UTC on Wednesday 20 August 2025   IDCJDW7025.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,11.8,27.0,0,,,,,,18.3,67,,N,2,,25.9,50,,NW,20,
,2025-02-2,14.4,32.6,0,,,NW,31,17:25,19.1,76,,ESE,2,,31.7,44,,NW,9,
,2025-02-3,18.6,31.1,0,,,NNW,33,16:47,23.2,77,,N,4,,28.1,59,6,WNW,13,
,2025-02-4,17.0,32.6,0,,,SSE,54,19:57,21.4,79,,W,4,,31.3,38,4,NW,26,
,2025-02-5,13.8,26.2,0,,,SSE,44,23:18,15.3,54,6,SSE,30,,24.9,32,,NNW,6,
,2025-02-6,10.4,27.0,0,,,,,,16.3,68,,NNE,4,,25.6,43,,WNW,11,
,2025-02-7,15.8,32.8,0,,,SSE,44,18:18,22.1,65,4,SE,9,,30.4,30,,NNW,9,
,2025-02-8,15.7,22.1,0,,,SSE,48,12:48,17.0,60,7,SSE,24,,21.3,48,8,SSE,31,
,2025-02-9,10.8,24.4,0,,,SSE,48,15:35,16.3,60,,SE,17,,23.3,35,3,SSE,19,
,2025-02-10,12.0,25.2,0,,,,,,18.0,51,,SSE,22,,24.2,35,,SSE,30,
,2025-02-11,15.9,28.3,0,,,,,,20.4,70,3,SE,11,,23.4,73,8,WNW,7,
,2025-02-12,17.1,30.8,0,,,N,33,13:35,21.2,76,8,SE,11,,26.8,56,5,NNW,9,
,2025-02-13,18.8,29.0,0,,,N,46,15:53,24.1,68,1,N,20,,28.0,52,3,NNW,20,
,2025-02-14,15.8,23.5,3.5,,,NNW,43,16:17,18.9,74,2,NNW,17,,21.4,47,4,WNW,13,
,2025-02-15,11.1,17.3,0,,,,,,15.1,56,3,NNE,2,,11.3,83,7, ,Calm,
,2025-02-16,8.2,21.6,2.2,,,SSE,37,01:17,13.0,53,,SE,17,,19.2,28,5,S,7,
,2025-02-17,6.6,21.7,0,,,NW,35,15:14,14.1,53,,ESE,4,,21.0,44,,NNW,20,
,2025-02-18,10.9,22.9,0,,,SSE,44,12:27,15.3,71,,NNW,15,,22.0,30,1,S,22,
,2025-02-19,6.2,23.7,0,,,SSW,41,21:31,11.6,68,,NNW,2,,22.9,39,2,WNW,20,
,2025-02-20,5.6,23.6,0,,,NNW,35,16:18,13.2,51,, ,Calm,,22.4,33,,NNE,11,
,2025-02-21,8.8,23.5,0,,,NW,33,14:42,15.1,62,,ENE,6,,22.1,49,,NW,19,
,2025-02-22,9.3,32.1,0,,,,,,14.0,80,, ,Calm,,30.4,34,1,WSW,9,
,2025-02-23,14.1,25.1,7.5,,,NNW,57,16:10,19.9,90,8,NW,13,,21.5,70,8,NNW,20,
,2025-02-24,11.9,27.0,1.0,,,,,,16.4,64,,NNW,15,,23.8,34,,NW,11,
,2025-02-25,9.4,26.3,0,,,,,,16.3,65,,E,6,,25.7,44,,WNW,19,
,2025-02-26,14.5,26.6,0,,,NNW,33,16:42,19.2,75,,NE,2,,26.4,52,3,NW,19,
,2025-02-27,13.3,25.6,0,,,NNW,37,16:22,17.1,77,8,SSE,7,,25.4,48,,NW,19,
,2025-02-28,15.4,26.5,0,,,,,,18.3,72,8,NNW,22,,26.1,23,,W,15,
