"Daily Weather Observations for Launceston, Tasmania for May 2025"
"Prepared at 13:03 UTC on Sunday 17 August 2025   IDCJDW7025.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Ti Tree Bend, but pressure and cloud from the airport."
"Conditions at Launceston Airport may be markedly different to those in the city on some days. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Launceston (Ti Tree Bend) {station 091237}"
"Cloud observations are from Launceston Airport {station 091311}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,,,0,,,NNW,24,15:43,5.7,80,,ESE,6,,,,,NNW,11,
,2025-05-2,,17.3,0,,,N,26,15:38,6.9,97,,NNW,6,,16.7,53,,NNW,15,
,2025-05-3,3.5,19.0,0.2,,,NW,28,12:16,7.2,96,2, ,Calm,,18.6,54,1,NNW,17,
,2025-05-4,5.8,20.5,0,,,NW,39,13:42,11.4,97,,NNW,6,,19.1,59,1,NW,24,
,2025-05-5,11.4,21.0,0,,,W,54,21:00,17.9,70,,NW,11,,19.8,64,1,NNW,26,
,2025-05-6,15.2,18.0,7.8,,,NNW,59,18:54,17.0,83,8,NNW,31,,17.4,79,8,NNW,39,
,2025-05-7,12.0,16.0,6.0,,,W,57,15:56,14.0,74,7,NNW,17,,13.3,66,7,NW,28,
,2025-05-8,2.7,16.5,0,,,W,26,14:32,8.6,75,,NNW,9,,14.3,51,8,WNW,11,
,2025-05-9,6.0,17.9,0,,,NNW,33,12:44,11.5,94,,WNW,2,,17.3,67,,NNW,20,
,2025-05-10,3.5,18.1,0,,,E,9,15:44,7.2,95,1, ,Calm,,17.2,55,,SE,4,
,2025-05-11,6.0,18.3,0,,,NNW,30,13:30,11.8,95,2,NW,4,,17.1,67,1,NNW,13,
,2025-05-12,8.5,19.6,0,,,NNW,31,14:05,11.1,97,, ,Calm,,18.5,68,,NNW,19,
,2025-05-13,5.5,16.3,0.4,,,NW,31,12:52,9.2,95,8,N,4,,15.2,61,1,NNW,17,
,2025-05-14,8.1,19.2,0,,,NW,28,14:36,12.1,94,1,NW,4,,18.5,62,,NNW,17,
,2025-05-15,2.3,17.9,0,,,NNW,33,13:23,7.5,95,,NE,4,,16.4,69,,NNW,20,
,2025-05-16,5.2,17.7,0,,,NW,35,12:02,12.2,90,8,NNW,7,,16.8,62,4,NNW,17,
,2025-05-17,4.2,13.6,0.2,,,S,37,18:15,10.2,62,8,SSE,15,,13.2,37,,SE,17,
,2025-05-18,-1.7,14.1,0,,,ESE,17,11:26,3.1,80,,E,4,,13.5,34,,WNW,6,
,2025-05-19,-2.8,16.1,0,,,NNW,24,15:09,2.2,87,,E,2,,15.5,51,,NNW,15,
,2025-05-20,0.5,15.7,0,,,NNW,19,15:04,5.5,93,8, ,Calm,,15.4,53,7,NNW,13,
,2025-05-21,-0.2,15.8,0,,,NW,20,12:48,3.9,96,, ,Calm,,14.8,52,,NW,13,
,2025-05-22,-1.2,16.8,0,,,,,,2.8,93,8,E,7,,16.5,46,,N,4,
,2025-05-23,,20.5,0,,,NNE,20,16:48,7.3,88,8,ENE,2,,19.9,56,3, ,Calm,
,2025-05-24,7.3,17.6,15.6,,,NW,33,15:04,12.9,96,8,WNW,6,,17.0,67,5,NW,20,
,2025-05-25,10.0,16.2,10.8,,,NNW,59,02:00,11.3,87,1,NW,9,,14.9,61,3,NNW,17,
,2025-05-26,4.0,17.5,2.0,,,NNW,56,13:39,9.5,95,8,ENE,6,,17.2,59,6,NNW,20,
,2025-05-27,7.1,16.3,5.5,,,SSE,22,23:59,9.3,96,8,SE,6,,15.3,67,,N,4,
,2025-05-28,3.0,16.8,0,,,,,,6.5,90,,SE,2,,16.4,47,,SE,13,
,2025-05-29,0.0,17.3,0,,,NW,13,15:12,3.1,95,, ,Calm,,17.0,41,,NW,7,
,2025-05-30,0.2,17.0,0,,,NW,15,14:30,3.9,96,, ,Calm,,16.6,52,,NW,7,
,2025-05-31,-0.1,15.4,0,,,,,,3.7,95,,E,7,,15.3,65,,NNW,9,
