"Daily Weather Observations for Alice Springs, Northern Territory for November 2023"
"Prepared at 13:03 UTC on Tuesday 12 November 2024   IDCJDW8002.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,14.3,35.6,0,,,SSW,52,22:38,24.9,19,,ENE,31,1016.4,35.0,11,,SE,28,1011.0
,2023-11-2,19.8,35.6,0,,,NNW,72,23:35,26.9,34,,N,17,1013.9,34.9,18,,N,26,1009.8
,2023-11-3,17.9,33.2,1.2,,,NW,48,00:14,25.9,18,,E,24,1014.6,32.2,14,,E,9,1011.6
,2023-11-4,17.4,36.2,0,,,E,46,08:53,26.2,17,,E,30,1015.9,34.8,11,,ESE,24,1011.4
,2023-11-5,17.5,36.5,0,,,ESE,43,09:37,28.7,11,4,ENE,24,1017.4,35.3,8,,ESE,24,1012.2
,2023-11-6,15.7,36.9,0,,,ENE,35,10:29,22.1,14,, ,Calm,1015.0,36.6,8,,SSE,17,1010.0
,2023-11-7,15.9,38.8,0,,,E,33,10:39,32.9,9,,ENE,19,1012.0,37.9,7,5,NNW,7,1006.6
,2023-11-8,17.5,36.3,0,,,NNW,52,15:16,24.1,19,,NW,4,1010.3,35.0,12,,NNW,35,1006.7
,2023-11-9,22.0,32.1,0.2,,,W,35,03:49,23.9,65,5,N,9,1011.4,31.6,23,8,SE,13,1007.8
,2023-11-10,18.4,38.2,0,,,ESE,69,16:04,29.7,34,,NNE,17,1011.7,37.0,17,,ESE,11,1007.5
,2023-11-11,21.8,36.7,0,,,NE,39,12:11,27.9,40,,NNW,11,1012.5,35.9,22,1,NE,17,1008.8
,2023-11-12,24.7,36.6,0,,,N,43,15:16,31.3,38,,NNW,17,1015.1,36.0,17,,N,26,1010.9
,2023-11-13,22.9,38.5,0,,,WNW,41,16:40,28.0,47,,S,13,1014.9,36.8,18,1,ESE,19,1009.4
,2023-11-14,24.2,37.7,0,,,S,33,07:52,30.4,18,,SSE,24,1013.9,37.0,14,7,W,9,1008.4
,2023-11-15,21.9,40.0,0,,,S,98,11:16,37.8,14,,W,28,1009.8,36.3,17,1,S,30,1008.1
,2023-11-16,25.2,35.8,0,,,SW,52,23:25,30.6,30,,E,17,1010.8,32.0,31,,NE,17,1007.8
,2023-11-17,18.9,30.3,35.6,,,NE,69,05:29,20.5,95,4,ENE,17,1013.7,28.1,60,,NE,17,1010.4
,2023-11-18,19.6,31.8,3.8,,,WNW,74,19:49,24.0,79,8,NNE,7,1012.5,29.3,44,8,NW,17,1008.9
,2023-11-19,19.2,30.5,17.8,,,S,37,17:53,23.3,75,8,ESE,19,1014.4,30.1,51,1,SSE,19,1011.1
,2023-11-20,17.4,33.3,0,,,WSW,33,14:01,26.8,41,,SW,6,1015.1,32.3,20,,S,13,1011.2
,2023-11-21,19.3,35.0,0,,,E,52,20:49,28.7,31,1,E,17,1015.3,34.2,19,4,NNE,11,1010.4
,2023-11-22,21.7,28.0,0,,,SSE,39,09:05,27.2,27,6,ESE,20,1016.0,25.9,41,,E,19,1013.0
,2023-11-23,16.6,33.8,0,,,E,31,11:43,22.5,44,, ,Calm,1013.9,32.9,17,,E,20,1009.5
,2023-11-24,16.3,35.1,0,,,SSW,48,23:26,30.8,20,,ENE,30,1011.2,32.9,16,8,NE,11,1007.6
,2023-11-25,19.7,36.3,0,,,ESE,31,11:19,27.2,36,,SSW,7,1010.9,35.9,15,5,E,13,1006.2
,2023-11-26,19.7,34.2,0,,,N,74,12:33,28.1,41,,ENE,17,1008.9,22.6,73,7,E,13,1008.0
,2023-11-27,16.5,34.8,14.8,,,NNE,28,14:17,26.1,50,,NNW,2,1008.8,33.8,20,,WNW,13,1004.4
,2023-11-28,19.6,36.0,0,,,NNE,30,22:43,27.0,27,,E,15,1010.9,34.5,18,,SW,11,1005.9
,2023-11-29,21.6,31.5,0,,,W,41,16:53,28.7,28,8,ESE,17,1009.8,20.2,89,8,NNE,20,1008.6
,2023-11-30,19.3,33.4,19.0,,,NW,113,16:02,23.8,70,8,N,19,1008.0,32.9,39,,NW,31,1003.1
