"Daily Weather Observations for Alice Springs, Northern Territory for May 2024"
"Prepared at 13:03 UTC on Wednesday  6 November 2024   IDCJDW8002.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,8.3,24.7,0,,,ESE,52,11:17,17.5,43,,SE,20,1023.5,24.1,25,,SE,26,1020.8
,2024-05-2,5.6,23.3,0,,,SE,39,11:00,16.6,35,,ESE,22,1025.1,22.7,28,,SSE,22,1020.9
,2024-05-3,5.6,23.4,0,,,ESE,37,10:53,14.6,35,,SSE,7,1023.5,23.0,26,,ESE,17,1019.1
,2024-05-4,6.3,23.6,0,,,E,37,11:40,15.6,51,,E,13,1021.3,23.0,31,,SE,13,1017.8
,2024-05-5,3.1,22.5,0,,,ESE,39,11:16,15.7,41,,E,19,1021.9,22.0,21,,ESE,20,1019.0
,2024-05-6,3.8,22.4,0,,,ESE,43,11:27,13.8,67,,SE,11,1023.2,21.1,35,,E,24,1019.2
,2024-05-7,8.6,22.7,0,,,ESE,41,12:48,15.7,62,,SSE,7,1022.2,21.7,35,,SE,20,1018.2
,2024-05-8,11.5,24.1,0,,,ESE,31,11:25,11.6,83,,WSW,2,1020.8,23.5,34,1,ESE,19,1017.7
,2024-05-9,9.6,25.8,0,,,SE,37,16:15,16.9,57,,S,11,1022.4,24.5,36,,SSE,20,1019.7
,2024-05-10,10.0,23.6,0,,,ESE,44,15:02,16.6,81,8,ESE,19,1025.4,22.9,40,,SE,22,1021.9
,2024-05-11,5.7,22.7,0,,,ESE,41,15:46,12.7,93,8,S,4,1025.8,22.0,38,,ESE,19,1021.6
,2024-05-12,4.5,22.6,0,,,E,41,13:41,5.3,94,,W,9,1023.7,21.5,30,,SE,17,1020.4
,2024-05-13,4.1,22.7,0,,,E,33,10:31,14.7,56,,E,9,1022.4,20.6,36,,E,19,1020.3
,2024-05-14,8.4,23.0,0,,,E,31,09:45,15.2,74,6,ENE,19,1023.7,22.0,37,,ESE,15,1019.3
,2024-05-15,7.6,26.5,0,,,SW,20,14:15,14.0,69,6, ,Calm,1023.2,26.0,31,1,SSW,13,1019.2
,2024-05-16,8.0,26.7,0,,,ESE,41,12:55,15.1,64,7,WSW,4,1023.0,25.6,30,,SW,9,1019.4
,2024-05-17,8.4,24.6,0,,,ESE,37,12:17,16.5,64,,SSE,4,1024.7,23.2,38,,ESE,22,1022.6
,2024-05-18,7.9,24.2,0,,,E,57,11:40,16.0,54,8,SSE,7,1025.7,23.2,33,6,ESE,28,1021.9
,2024-05-19,5.3,20.1,0,,,ESE,52,14:16,11.6,74,,ESE,9,1025.5,19.5,24,,SE,28,1022.8
,2024-05-20,-0.3,19.3,0,,,ESE,48,10:35,9.6,45,,SE,13,1027.3,18.5,16,,ESE,24,1024.0
,2024-05-21,0.0,19.5,0,,,E,46,10:01,10.0,61,,E,17,1026.3,19.0,36,,ESE,20,1022.3
,2024-05-22,1.3,19.8,,,,,,,10.0,70,,NE,4,1024.2,19.1,33,,ESE,20,1019.9
,2024-05-23,0.6,21.0,0,,,E,33,11:18,10.0,66,,ESE,7,1022.4,19.9,32,,SSE,13,1018.1
,2024-05-24,6.7,25.6,0,,,E,20,00:11,12.7,52,8, ,Calm,1019.4,25.3,23,,W,9,1016.5
,2024-05-25,7.0,27.5,0,,,ESE,28,15:40,15.3,49,, ,Calm,1020.8,26.7,27,,ESE,15,1017.4
,2024-05-26,6.5,25.8,0,,,E,30,11:55,16.6,55,, ,Calm,1023.6,24.8,31,,SSE,11,1020.4
,2024-05-27,6.2,25.2,0,,,ENE,41,13:30,14.6,51,,W,2,1024.7,24.5,35,,ESE,20,1020.7
,2024-05-28,6.3,25.6,0,,,ESE,37,13:56,14.4,66,,E,7,1022.8,24.5,31,,ENE,17,1018.2
,2024-05-29,10.3,28.2,0,,,N,41,14:27,20.0,40,,ENE,15,1018.9,27.7,24,6,N,20,1013.4
,2024-05-30,15.1,16.6,28.0,,,W,37,00:08,15.3,99,8,S,11,1017.5,16.2,96,8,N,9,1015.9
,2024-05-31,13.8,17.3,14.0,,,SSE,28,10:45,14.8,97,8,SE,9,1021.7,16.5,75,,SE,13,1020.4
