"Daily Weather Observations for Alice Springs, Northern Territory for September 2024"
"Prepared at 16:03 UTC on Saturday 16 November 2024   IDCJDW8002.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,11.8,35.4,0,,,SW,37,14:19,23.7,33,, ,Calm,1017.8,35.2,17,,WNW,11,1012.9
,2024-09-2,15.5,29.8,0,,,ESE,50,11:51,21.8,25,,S,15,1022.9,29.2,13,,ESE,24,1020.6
,2024-09-3,10.3,28.5,0,,,E,46,10:40,18.0,38,,E,24,1025.4,27.5,18,,ENE,20,1020.6
,2024-09-4,7.0,32.5,0,,,N,31,14:33,21.4,22,,NE,7,1019.8,31.7,10,,NNE,15,1013.6
,2024-09-5,11.5,33.5,0,,,NNW,54,13:11,27.0,28,,N,24,1015.9,32.2,19,,NW,24,1011.7
,2024-09-6,21.9,35.2,0,,,NNW,52,11:03,27.8,34,,NNW,35,1016.9,34.6,18,,SW,11,1014.6
,2024-09-7,16.2,31.2,0,,,ESE,37,09:20,21.5,45,,ESE,24,1023.1,30.8,26,,E,13,1018.2
,2024-09-8,13.2,19.2,0,,,SSE,33,06:07,13.5,73,8,S,17,1025.1,18.4,53,,SE,17,1023.0
,2024-09-9,11.4,25.7,0.2,,,E,48,09:55,15.9,53,6,ESE,13,1022.6,25.0,27,,ESE,22,1017.6
,2024-09-10,9.6,31.2,0,,,NE,31,12:09,13.4,54,,ESE,11,1019.1,30.0,20,,ENE,9,1014.2
,2024-09-11,11.8,32.6,0,,,SSE,46,18:48,18.3,49,,NW,7,1020.7,32.0,18,,E,13,1017.1
,2024-09-12,11.5,26.9,0,,,E,56,08:46,20.6,32,,ESE,41,1025.4,26.1,23,,SE,24,1022.3
,2024-09-13,8.9,24.5,0,,,ESE,44,10:16,13.1,38,,ESE,17,1025.2,23.7,11,,ESE,24,1020.2
,2024-09-14,4.4,25.8,0,,,E,43,12:51,16.1,30,,ESE,17,1022.0,24.7,17,,SE,19,1016.5
,2024-09-15,8.0,25.3,0,,,ESE,44,12:33,13.4,45,,SE,9,1020.2,24.7,20,,E,28,1017.0
,2024-09-16,12.5,22.7,0,,,,,,13.9,21,8,ESE,24,1023.5,19.8,18,8,SSE,24,1020.6
,2024-09-17,8.2,25.8,,,,ESE,39,16:07,15.9,19,,SE,15,1023.5,24.9,13,1,ENE,17,1018.8
,2024-09-18,5.7,28.7,0,,,E,28,09:22,19.5,16,,E,13,1020.3,27.4,9,,NNE,7,1014.8
,2024-09-19,7.5,31.2,0,,,ESE,35,12:55,20.5,17,,WNW,7,1017.8,29.7,10,,S,19,1014.0
,2024-09-20,7.5,31.3,0,,,W,35,15:37,22.9,15,,ENE,15,1017.9,30.5,10,,NW,11,1012.8
,2024-09-21,8.8,31.3,0,,,ENE,37,11:11,22.1,25,,E,20,1016.7,29.5,13,5,ENE,11,1013.0
,2024-09-22,12.2,31.1,0,,,E,37,10:47,17.8,32,,E,11,1018.1,30.5,12,5,NNW,6,1014.6
,2024-09-23,20.0,25.7,0,,,N,57,15:18,21.0,42,,NNE,13,1017.6,24.0,25,,N,30,1014.7
,2024-09-24,15.7,24.2,1.4,,,N,57,13:50,16.7,78,,NW,20,1016.0,23.0,58,,NNW,24,1009.3
,2024-09-25,16.5,30.0,1.8,,,S,43,18:35,21.0,81,8,NNW,9,1013.1,28.1,42,8,NW,11,1009.9
,2024-09-26,13.5,26.9,1.2,,,ESE,39,08:20,18.2,64,1,ESE,24,1021.5,25.5,29,,ESE,20,1017.5
,2024-09-27,10.9,28.3,0,,,E,37,10:32,20.3,37,,ENE,22,1021.2,27.7,22,,ESE,13,1016.0
,2024-09-28,14.3,34.1,0,,,NW,39,15:18,22.7,21,6,NNW,17,1017.9,32.9,21,,WNW,20,1012.5
,2024-09-29,18.0,24.1,0,,,SSW,46,01:54,22.9,69,7,SSE,19,1019.6,19.2,70,8,S,24,1019.3
,2024-09-30,16.6,26.1,0,,,ESE,48,08:28,19.3,27,6,ESE,31,1023.2,24.8,23,2,ESE,26,1018.9
