"Daily Weather Observations for Alice Springs, Northern Territory for October 2024"
"Prepared at 13:03 UTC on Sunday 10 August 2025   IDCJDW8002.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,9.6,23.7,0,,,ESE,37,09:46,17.9,29,8,E,20,1023.1,22.7,20,8,SSE,13,1018.2
,2024-10-2,7.8,30.2,0,,,ENE,39,09:19,20.6,20,,ENE,22,1020.0,29.0,14,,ESE,11,1013.8
,2024-10-3,12.3,33.7,0,,,W,54,12:04,27.0,17,8,ENE,13,1015.3,30.1,14,,WSW,28,1014.7
,2024-10-4,16.6,35.9,0,,,NW,57,16:30,28.2,18,,S,9,1014.8,35.0,16,8,W,26,1009.2
,2024-10-5,15.4,33.8,0,,,SSW,33,14:23,23.9,43,,WSW,11,1013.9,32.6,14,,SSW,19,1010.5
,2024-10-6,11.7,34.4,0,,,E,46,09:24,24.3,26,,E,22,1017.6,33.3,12,,W,9,1013.2
,2024-10-7,13.1,36.9,0,,,NNE,33,10:23,29.3,29,,NE,19,1017.8,35.5,13,6,N,13,1013.8
,2024-10-8,15.7,37.3,0,,,ENE,31,10:01,27.7,20,,ENE,9,1019.4,36.4,11,6,SSE,15,1014.4
,2024-10-9,15.3,36.5,0,,,ESE,43,14:49,28.4,17,,ENE,13,1019.3,35.8,10,,ESE,22,1013.3
,2024-10-10,13.9,35.8,0,,,ESE,54,14:46,28.6,17,,E,15,1018.5,34.6,11,,ESE,33,1014.4
,2024-10-11,12.7,34.3,0,,,SE,52,12:17,26.0,11,,ESE,19,1019.9,33.2,8,1,E,28,1014.9
,2024-10-12,17.6,34.3,0,,,E,48,12:03,26.6,19,,ESE,26,1017.9,33.2,12,8,E,26,1012.5
,2024-10-13,15.0,35.6,0,,,ENE,41,10:20,28.3,30,,NNE,15,1014.7,34.7,16,,NE,19,1009.2
,2024-10-14,22.7,35.1,0,,,NNW,72,13:42,31.0,27,,NNE,19,1011.9,29.3,33,8,NNE,4,1009.2
,2024-10-15,24.6,38.2,0.2,,,NW,48,10:06,33.4,23,,NNW,28,1010.6,37.8,16,,WNW,19,1007.2
,2024-10-16,25.5,39.8,0,,,W,61,12:47,33.8,27,,NNW,35,1009.6,39.2,15,,NW,20,1005.3
,2024-10-17,25.5,37.7,0,,,NW,69,16:15,34.2,29,,NW,31,1008.3,36.9,24,3,WNW,37,1005.1
,2024-10-18,22.0,34.9,0,,,E,39,11:45,28.1,27,,SSE,20,1013.1,33.9,19,,SSW,13,1009.5
,2024-10-19,18.2,34.5,0,,,ESE,44,08:08,26.0,34,,ESE,26,1016.5,33.7,22,,E,17,1012.1
,2024-10-20,17.4,35.6,0,,,E,44,09:03,26.4,24,,E,28,1017.4,34.0,15,,NNE,6,1011.7
,2024-10-21,14.8,38.1,0,,,SSE,44,13:53,28.0,14,,NE,11,1015.3,37.0,9,,SSE,28,1009.8
,2024-10-22,14.0,38.4,0,,,E,35,11:11,30.4,12,,ENE,15,1012.4,37.3,6,,E,13,1008.3
,2024-10-23,14.8,35.3,0,,,SSE,41,10:55,25.0,34,,SSE,30,1016.2,33.4,16,,E,15,1010.5
,2024-10-24,20.0,32.5,0,,,ESE,41,09:24,25.2,38,7,SE,26,1016.5,31.3,15,3,SE,24,1013.0
,2024-10-25,17.9,31.7,0,,,ESE,41,08:12,23.4,20,,E,30,1018.0,31.1,11,,E,19,1013.1
,2024-10-26,11.3,35.8,0,,,E,33,12:32,27.4,8,,NNE,20,1014.7,35.1,9,,S,9,1008.4
,2024-10-27,15.1,32.8,0,,,E,50,12:42,26.6,9,7,E,19,1014.8,29.3,17,,ESE,24,1013.3
,2024-10-28,14.2,35.8,0,,,ESE,63,17:05,29.2,22,,E,28,1018.4,34.0,10,,ESE,26,1014.8
,2024-10-29,15.6,35.5,0,,,ENE,48,13:18,26.4,14,8,E,20,1020.9,34.0,8,7,ESE,24,1016.1
,2024-10-30,18.9,36.2,0,,,ESE,39,10:41,30.6,12,2,E,19,1017.1,34.1,10,2,SE,15,1012.0
,2024-10-31,16.6,37.8,0,,,SE,50,15:50,29.4,11,7,E,15,1013.9,36.5,9,,SW,15,1009.0
