"Daily Weather Observations for Alice Springs, Northern Territory for May 2025"
"Prepared at 13:03 UTC on Sunday 17 August 2025   IDCJDW8002.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,6.7,22.9,0,,,ESE,54,11:28,15.7,53,,E,13,1024.4,22.4,28,,ESE,28,1022.0
,2025-05-2,5.7,23.3,0,,,ENE,46,10:47,13.2,61,,SE,9,1025.0,22.7,26,,E,26,1020.8
,2025-05-3,4.0,25.4,0,,,E,37,14:48,15.4,47,,ESE,11,1023.6,24.9,26,,E,24,1018.8
,2025-05-4,6.2,27.1,0,,,SSE,22,15:20,16.6,44,, ,Calm,1021.9,26.9,26,,ENE,4,1017.7
,2025-05-5,8.2,27.4,0,,,S,31,13:51,17.8,50,, ,Calm,1022.0,26.9,27,,SE,17,1018.7
,2025-05-6,9.9,27.9,0,,,ENE,35,12:35,19.7,51,, ,Calm,1021.8,26.7,33,,ENE,11,1018.2
,2025-05-7,10.3,27.3,0,,,ESE,44,14:23,18.7,59,, ,Calm,1021.0,26.8,27,,SE,24,1018.3
,2025-05-8,9.8,26.3,0,,,ESE,48,13:17,18.2,57,,SE,20,1024.4,25.8,31,,ESE,28,1020.3
,2025-05-9,11.1,25.5,0,,,E,48,09:56,19.2,58,,E,22,1024.8,23.8,37,1,ESE,22,1020.9
,2025-05-10,7.4,25.3,0,,,ENE,37,11:07,15.5,48,,E,9,1023.0,24.1,25,,E,15,1018.2
,2025-05-11,7.9,25.6,0,,,SE,50,14:20,16.2,48,,SSW,2,1021.4,24.9,31,2,ESE,24,1018.1
,2025-05-12,9.8,25.5,0,,,ESE,39,11:47,17.8,55,,ESE,9,1021.6,24.6,36,,ESE,19,1017.8
,2025-05-13,8.5,25.4,0,,,SSE,35,12:42,17.3,55,,S,6,1022.1,24.4,28,,SSE,15,1018.4
,2025-05-14,8.6,25.1,0,,,S,41,13:55,15.6,52,,W,9,1022.0,24.4,24,2,SE,20,1019.4
,2025-05-15,8.1,23.1,0,,,SSE,41,14:41,15.7,46,,SE,9,1022.6,22.6,26,,SSE,24,1018.4
,2025-05-16,6.4,22.5,0,,,S,33,12:41,14.3,54,,SW,9,1022.5,21.1,30,,SSE,15,1018.7
,2025-05-17,6.1,21.4,0,,,S,39,15:26,14.1,54,,SSW,7,1023.9,20.6,31,,SSE,26,1020.0
,2025-05-18,3.7,20.1,0,,,SE,50,10:57,13.3,58,,SE,19,1026.1,19.5,30,,SE,26,1023.0
,2025-05-19,2.5,18.6,0,,,E,48,11:18,11.9,57,,E,22,1025.0,18.0,26,,SE,28,1021.6
,2025-05-20,-1.8,18.9,0,,,ESE,39,11:04,10.5,41,,E,15,1024.7,18.2,22,,ESE,20,1021.2
,2025-05-21,1.9,21.2,0,,,ESE,48,11:35,11.3,55,,SE,11,1024.6,21.1,32,,ESE,28,1020.4
,2025-05-22,3.1,,0,,,,,,12.3,52,,E,11,1021.0,20.1,28,8,ESE,19,1016.7
,2025-05-23,2.3,23.3,0,,,ENE,30,09:45,12.2,49,, ,Calm,1017.8,22.8,24,,NE,7,1012.8
,2025-05-24,7.7,28.0,0,,,W,43,13:44,16.7,60,3,N,6,1016.6,27.2,25,5,W,19,1013.2
,2025-05-25,16.3,31.2,0,,,NNW,41,11:53,18.1,52,,S,6,1014.8,29.9,24,6,NNW,19,1011.6
,2025-05-26,19.1,26.3,0,,,S,30,13:32,21.9,49,7, ,Calm,1015.7,25.9,36,,S,19,1015.2
,2025-05-27,12.3,12.4,0.8,,,E,33,22:49,11.8,77,,SE,13,1024.1,10.2,95,,ENE,19,1023.1
,2025-05-28,8.1,11.3,40.4,,,ESE,31,08:57,8.8,98,7,ESE,24,1023.3,11.0,96,8,ESE,17,1021.4
,2025-05-29,8.8,16.3,1.6,,,E,33,12:39,11.2,89,6,SE,17,1024.2,15.8,62,7,ESE,19,1021.5
,2025-05-30,4.4,17.5,0,,,ESE,37,12:24,9.8,94,, ,Calm,1025.2,16.9,51,,SE,17,1022.2
,2025-05-31,2.9,16.2,0.2,,,E,30,10:28,9.6,91,,E,6,1024.2,15.5,56,3,ESE,13,1021.2
