"Daily Weather Observations for Alice Springs, Northern Territory for June 2025"
"Prepared at 16:03 UTC on Saturday 16 August 2025   IDCJDW8002.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations taken at Alice Springs Airport."
"The airport is about 11 kilometres from Alice Springs township. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Alice Springs Airport {station 015590}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,3.2,20.5,0,,,WNW,20,13:14,9.3,96,,WSW,2,1021.3,20.3,34,,WNW,7,1017.1
,2025-06-2,5.2,22.6,0,,,S,26,13:04,11.6,85,,WNW,7,1019.2,21.9,29,,S,17,1015.7
,2025-06-3,6.0,22.8,0,,,E,35,13:22,15.4,67,,NNW,4,1020.6,22.3,31,,E,17,1017.1
,2025-06-4,6.2,22.1,0,,,E,35,12:19,13.5,77,7, ,Calm,1021.7,21.7,34,,ESE,20,1018.1
,2025-06-5,5.5,23.1,0,,,NE,28,10:28,11.6,79,,E,9,1020.7,23.0,24,,NNE,6,1016.0
,2025-06-6,8.6,25.4,0,,,S,35,15:14,19.1,52,,NW,7,1019.3,24.8,30,,S,17,1016.8
,2025-06-7,7.8,19.6,0,,,ESE,33,09:45,12.6,77,,SW,7,1024.9,18.5,44,,SSE,15,1021.9
,2025-06-8,4.5,18.7,0,,,S,37,11:12,5.2,90,,WSW,7,1023.3,18.0,40,,S,20,1020.0
,2025-06-9,5.1,18.1,0,,,SSE,33,10:12,10.8,80,,S,15,1022.0,17.2,48,,S,17,1018.4
,2025-06-10,2.6,18.1,0,,,ESE,31,13:32,8.5,92,,NW,7,1021.3,17.5,39,,SE,11,1017.4
,2025-06-11,2.2,21.1,0,,,NW,46,12:25,12.8,61,,WNW,4,1019.8,20.4,28,,SW,15,1016.6
,2025-06-12,4.7,19.5,0,,,S,30,16:21,7.2,71,,NW,13,1021.8,19.5,31,,SSW,15,1020.3
,2025-06-13,2.4,18.9,0,,,E,30,11:41,10.6,64,, ,Calm,1025.3,18.1,33,,S,4,1021.7
,2025-06-14,5.9,19.3,0,,,S,20,15:30,6.8,85,,NNW,9,1022.6,17.5,37,,S,11,1021.2
,2025-06-15,4.3,20.7,0,,,ESE,33,12:40,4.8,93,,W,4,1021.8,19.0,37,,E,11,1020.8
,2025-06-16,2.7,21.8,0,,,ESE,31,15:18,7.4,89,,W,7,1023.1,21.0,24,,E,17,1021.0
,2025-06-17,2.2,20.7,0,,,ESE,39,12:19,9.5,74,, ,Calm,1025.1,20.1,30,,ESE,19,1022.0
,2025-06-18,2.0,20.0,0,,,ENE,37,10:15,9.9,75,, ,Calm,1024.6,19.4,30,,ENE,17,1021.0
,2025-06-19,0.7,22.5,0,,,ENE,24,11:54,8.0,77,, ,Calm,1023.6,21.0,26,,ENE,9,1020.3
,2025-06-20,1.8,23.2,0,,,NE,30,10:50,14.0,51,,E,7,1023.9,22.7,22,,ESE,17,1020.3
,2025-06-21,3.7,25.2,0,,,ENE,35,13:04,4.0,92,,WNW,9,1023.1,24.6,29,,E,15,1018.2
,2025-06-22,6.2,26.1,0,,,NNW,39,12:02,13.2,72,,S,7,1021.2,24.7,29,,NW,11,1017.4
,2025-06-23,7.4,24.3,0,,,WSW,26,15:37,16.0,51,,WSW,17,1019.4,24.0,26,,W,2,1015.9
,2025-06-24,5.3,20.2,0,,,SW,33,15:41,12.7,44,,WSW,13,1023.4,19.8,21,,S,13,1020.6
,2025-06-25,2.8,18.0,0,,,E,35,12:03,9.9,65,,S,7,1028.3,17.3,39,,SE,17,1025.3
,2025-06-26,2.3,18.9,0,,,ESE,39,11:35,8.9,80,, ,Calm,1028.7,18.2,41,,E,24,1025.2
,2025-06-27,4.2,17.4,0,,,E,44,11:28,9.9,78,,SE,13,1027.2,17.1,38,,ESE,22,1024.4
,2025-06-28,0.1,16.0,0,,,ESE,37,12:41,3.8,79,,WSW,6,1027.0,14.4,32,,S,19,1025.2
,2025-06-29,-1.4,16.4,0,,,SE,41,10:25,8.5,60,,ESE,11,1027.7,15.3,32,,SE,13,1025.1
,2025-06-30,-0.8,17.1,0,,,ESE,39,10:29,6.3,73,, ,Calm,1028.0,15.6,34,,SE,20,1024.9
