"Daily Weather Observations for Darwin, Northern Territory for December 2023"
"Prepared at 13:03 UTC on Monday 11 November 2024   IDCJDW8014.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,29.5,35.9,0,9.6,10.9,WNW,41,14:14,31.7,71,3,WNW,17,1009.7,34.9,56,2,WNW,28,1005.5
,2023-12-2,26.5,36.1,0,8.2,10.7,WNW,41,15:02,31.4,71,3,WNW,9,1009.3,35.0,54,2,WNW,31,1006.0
,2023-12-3,25.1,31.6,10.4,10.2,0.0,ENE,41,08:15,25.1,87,8,NE,13,1012.1,29.6,74,8,NW,7,1009.0
,2023-12-4,24.9,34.2,2.8,2.2,8.8,N,28,22:40,31.4,66,5,NNW,6,1011.3,32.1,65,7,NNW,11,1007.7
,2023-12-5,26.4,35.1,0,6.0,6.9,S,46,18:05,31.4,66,6,WSW,4,1010.4,33.8,57,6,NW,20,1006.4
,2023-12-6,24.3,35.7,4.6,6.4,8.9,ENE,56,22:31,28.5,73,1,SE,9,1010.2,32.6,67,4,NNW,6,1006.8
,2023-12-7,24.8,34.9,0,7.0,6.3,N,46,18:57,27.2,81,7,SE,9,1010.6,32.7,63,6,SE,9,1006.8
,2023-12-8,24.2,34.0,29.0,9.0,7.1,NNE,35,15:40,28.8,76,4,E,7,1010.3,33.4,56,3,WNW,11,1006.7
,2023-12-9,26.7,35.2,0,4.0,7.7,N,37,17:12,30.5,67,5,SSE,6,1009.8,34.1,51,3,WNW,13,1005.3
,2023-12-10,23.7,34.1,30.0,9.2,7.8,ENE,43,01:40,29.1,75,6,ESE,7,1008.2,32.3,63,6,NW,19,1003.8
,2023-12-11,26.7,33.7,0.6,5.4,3.1,SSW,44,09:46,30.4,76,7,WSW,6,1007.6,31.9,66,7,WNW,19,1003.6
,2023-12-12,25.4,33.4,40.2,7.8,7.3,NNW,39,15:55,30.2,76,2,NE,6,1007.0,32.5,61,7,N,17,1004.1
,2023-12-13,25.7,32.8,1.2,4.0,5.0,ENE,59,14:02,30.2,74,2,S,7,1007.0,24.7,97,8,NW,13,1006.1
,2023-12-14,24.0,33.0,46.4,3.4,3.4,SSW,65,16:45,29.7,81,7,W,9,1007.8,32.3,73,7,WNW,22,1004.4
,2023-12-15,24.8,30.7,4.0,4.2,0.4,ESE,33,05:33,27.1,93,7,WNW,11,1007.1,29.9,77,7,WNW,11,1004.4
,2023-12-16,22.5,33.5,23.6,6.0,7.3,E,69,00:53,28.5,72,7,WNW,11,1006.5,33.0,55,7,WNW,9,1004.7
,2023-12-17,25.5,34.1,0.2,5.6,8.6,E,80,16:11,31.1,74,6,WSW,6,1008.0,33.1,69,6,NW,26,1004.5
,2023-12-18,24.4,34.6,21.2,7.2,6.1,W,35,11:48,31.0,78,7,W,17,1008.7,33.7,63,7,W,22,1005.3
,2023-12-19,29.3,34.6,0,6.8,10.9,WNW,37,12:02,31.9,74,6,WNW,19,1008.4,34.1,64,5,W,19,1005.2
,2023-12-20,29.8,31.7,0,8.8,0.0,NE,39,10:55,30.8,76,8,WNW,19,1008.2,29.7,78,8,NW,11,1006.2
,2023-12-21,27.0,33.4,0,2.2,0.5,W,28,01:45,30.9,76,8,SW,17,1009.2,32.5,69,8,NNW,17,1006.7
,2023-12-22,27.3,35.3,0,4.8,8.2,WNW,33,13:10,29.2,79,6,SSW,7,1011.3,32.7,69,4,W,20,1007.8
,2023-12-23,29.2,34.5,0,6.8,11.3,WNW,39,16:11,31.5,73,5,W,17,1011.1,34.1,63,3,WNW,26,1008.0
,2023-12-24,29.6,35.0,0,10.0,11.2,WNW,41,12:14,31.7,71,4,W,20,1010.3,33.0,67,5,WNW,31,1007.4
,2023-12-25,29.7,34.7,0,8.4,10.5,WNW,39,15:12,32.1,74,3,W,19,1008.5,33.8,61,1,WNW,30,1006.8
,2023-12-26,24.2,31.8,37.6,9.6,1.0,SE,43,01:20,28.8,83,6, ,Calm,1010.4,29.9,75,7,W,11,1007.7
,2023-12-27,28.0,35.1,0,2.4,9.3,NW,35,17:13,31.1,81,5,NNW,13,1012.0,33.9,59,6,WNW,11,1009.1
,2023-12-28,27.9,34.5,0,6.6,9.8,WNW,30,13:45,31.2,73,5,WSW,11,1012.6,32.7,71,1,WNW,19,1009.3
,2023-12-29,28.2,34.9,1.6,6.2,8.6,WNW,30,14:07,31.6,73,5,WSW,13,1011.2,34.4,58,5,WNW,22,1008.1
,2023-12-30,26.9,35.1,0,6.4,9.1,N,26,14:46,31.1,75,5,SSE,6,1010.4,34.4,63,4,NNW,17,1007.2
,2023-12-31,27.9,35.3,0,7.6,11.2,WNW,28,14:38,31.6,69,3,WNW,9,1011.2,34.3,54,1,NW,17,1008.4
