"Daily Weather Observations for Darwin, Northern Territory for May 2024"
"Prepared at 13:03 UTC on Wednesday  6 November 2024   IDCJDW8014.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,24.9,33.8,0,7.8,10.8,E,41,10:57,28.1,65,1,SE,13,1012.0,32.9,50,7,E,20,1008.8
,2024-05-2,24.7,34.7,0,8.4,10.8,ESE,39,14:06,27.6,61,2,SE,19,1012.6,34.7,40,4,ESE,19,1008.2
,2024-05-3,24.0,34.7,0,9.4,11.2,ESE,46,12:04,27.6,54,2,SE,24,1011.6,34.1,44,2,E,22,1007.8
,2024-05-4,24.8,34.6,0,7.4,11.2,E,44,12:04,28.1,63,1,SE,22,1010.2,34.1,40,1,E,22,1007.0
,2024-05-5,25.0,34.6,0,8.0,11.1,E,41,11:38,28.5,55,2,ESE,24,1010.7,33.7,36,4,ENE,20,1008.2
,2024-05-6,23.9,33.7,0,8.4,9.9,SE,35,10:37,26.6,53,1,SE,20,1013.1,33.1,36,1,ESE,11,1009.4
,2024-05-7,22.9,34.0,0,7.4,9.1,SE,39,14:24,26.2,54,2,SE,15,1012.9,32.5,36,7,ENE,9,1009.6
,2024-05-8,23.3,33.5,0,7.4,9.6,E,33,12:45,27.1,61,2,E,17,1012.5,33.0,38,1,ENE,11,1009.3
,2024-05-9,23.3,34.2,0,6.4,10.8,E,30,12:27,28.8,64,1,E,9,1013.3,33.6,43,3,NE,9,1010.5
,2024-05-10,26.5,35.1,0,6.6,9.4,SE,35,11:14,28.4,74,7,SE,17,1014.4,34.1,42,2,ENE,17,1010.6
,2024-05-11,24.2,34.2,0,8.0,11.1,E,44,11:44,27.8,58,1,SE,19,1014.8,33.7,42,1,E,19,1011.0
,2024-05-12,22.7,33.5,0,7.8,10.9,ESE,43,10:43,26.1,63,1,SE,20,1014.3,32.8,43,3,E,20,1010.5
,2024-05-13,23.1,33.6,0,8.8,11.0,E,39,10:57,26.7,60,4,SE,17,1013.2,33.4,42,5,ENE,17,1009.3
,2024-05-14,24.7,33.9,0,7.0,9.8,E,44,10:45,28.7,53,5,ESE,22,1013.7,33.9,39,2,ENE,24,1009.6
,2024-05-15,24.5,33.6,0,7.8,10.6,E,41,13:20,27.3,61,1,ESE,19,1014.8,33.2,41,2,NE,15,1011.4
,2024-05-16,24.3,34.6,0,6.8,10.8,ENE,41,10:31,28.2,65,2,ESE,17,1015.0,34.0,43,3,E,19,1010.9
,2024-05-17,23.9,34.4,0,6.0,11.0,SE,41,13:59,27.9,64,1,SE,9,1014.1,33.6,38,2,E,22,1010.1
,2024-05-18,23.2,34.1,0,8.8,10.6,ESE,46,10:25,27.2,56,1,SE,17,1012.9,33.0,35,2,ESE,22,1009.2
,2024-05-19,21.1,33.0,0,9.6,11.2,E,48,11:02,25.1,56,0,SE,22,1012.9,31.9,35,1,E,17,1009.0
,2024-05-20,21.3,31.3,0,8.6,11.0,SE,44,10:24,23.7,52,0,SE,28,1013.5,30.9,31,0,SSE,19,1010.2
,2024-05-21,19.1,30.5,0,10.4,11.1,ESE,52,10:01,23.0,37,0,SE,26,1014.6,29.8,31,0,ESE,17,1011.0
,2024-05-22,20.0,31.9,0,7.4,11.0,ESE,46,10:21,24.4,63,1,SE,22,1013.9,31.7,40,1,ESE,15,1010.1
,2024-05-23,22.8,33.2,0,6.8,8.9,ESE,39,10:22,25.8,61,7,ESE,20,1013.6,31.8,42,2,ESE,13,1009.9
,2024-05-24,23.7,33.7,0,6.6,9.8,E,33,10:29,27.0,60,2,E,22,1012.9,32.1,45,6,W,9,1009.7
,2024-05-25,24.7,33.7,0,7.0,10.9,E,37,11:00,27.7,69,2,E,19,1014.2,32.5,44,3,WSW,11,1010.4
,2024-05-26,23.4,33.9,0,5.2,10.4,E,33,11:33,28.1,75,2,ENE,7,1014.5,32.7,43,6,ENE,13,1011.3
,2024-05-27,23.9,34.0,0,5.8,10.4,ESE,46,11:40,26.4,63,1,SE,15,1014.1,33.7,39,1,ESE,22,1010.3
,2024-05-28,24.4,34.2,0,7.6,9.2,E,39,11:27,27.5,55,4,SE,19,1013.4,33.4,39,3,E,17,1010.2
,2024-05-29,25.5,32.8,0,7.2,5.3,ENE,41,10:42,27.8,65,5,E,20,1012.9,30.4,60,7,NE,24,1010.1
,2024-05-30,26.2,33.2,0,6.0,8.4,ENE,39,10:55,28.1,74,7,E,22,1014.1,32.5,53,3,ENE,24,1010.7
,2024-05-31,25.0,33.5,0,6.2,9.9,ENE,35,09:50,27.6,73,1,E,20,1014.9,32.6,48,3,NNE,13,1011.5
