"Daily Weather Observations for Darwin, Northern Territory for June 2025"
"Prepared at 16:03 UTC on Saturday 16 August 2025   IDCJDW8014.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Darwin Airport {station 014015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,21.2,30.8,0,5.0,10.2,ESE,35,10:02,24.3,71,2,SE,11,1015.6,30.1,45,1,ENE,9,1012.3
,2025-06-2,19.9,31.5,0,4.6,11.0,SE,30,10:14,23.6,60,2,SE,15,1014.1,30.7,38,4,SSE,9,1010.2
,2025-06-3,21.1,31.9,0,6.8,9.3,E,30,11:53,23.6,55,7,SSE,17,1013.7,31.2,39,7,NE,13,1010.8
,2025-06-4,22.1,32.3,0,6.6,9.2,ESE,30,09:56,25.3,52,2,SE,13,1013.7,31.5,38,1,E,15,1010.3
,2025-06-5,21.8,31.7,0,5.4,9.4,E,22,09:08,24.3,64,7,E,15,1014.6,29.9,55,6,WNW,15,1011.0
,2025-06-6,21.4,31.9,0,3.6,10.6,ESE,24,12:45,25.3,60,6,ESE,15,1014.2,29.7,58,3,NW,13,1010.8
,2025-06-7,20.2,31.7,0,5.2,10.9,ESE,33,13:12,23.7,70,1,SSE,9,1015.1,30.9,36,2,E,17,1011.3
,2025-06-8,20.5,30.7,0,6.6,11.0,ESE,43,12:12,24.4,54,0,ESE,20,1014.8,30.0,44,3,ENE,15,1011.0
,2025-06-9,19.2,29.2,0,8.0,10.9,ESE,41,10:26,21.7,53,6,SE,20,1014.4,28.6,35,3,ENE,17,1010.4
,2025-06-10,19.8,28.7,0,7.2,6.5,ESE,41,10:06,22.6,49,4,SE,19,1013.7,28.2,35,7,E,13,1010.5
,2025-06-11,19.9,28.9,0,5.2,5.7,ESE,39,10:10,23.3,48,5,ESE,15,1014.3,28.6,47,7,E,11,1011.4
,2025-06-12,20.2,30.5,0,6.6,11.0,ESE,39,10:29,22.7,46,0,SE,19,1016.1,30.2,28,1,E,17,1012.5
,2025-06-13,19.0,29.7,0,8.0,10.7,E,37,10:33,21.7,41,0,ESE,13,1017.6,29.3,26,0,ESE,11,1013.5
,2025-06-14,16.5,30.5,0,6.2,10.6,SE,31,10:28,20.1,44,0,SE,17,1016.4,29.8,24,1,ENE,7,1012.6
,2025-06-15,17.5,28.4,0,5.8,4.9,ESE,33,10:23,20.8,42,1,SE,15,1015.7,27.6,24,7,ENE,11,1012.5
,2025-06-16,17.4,30.2,0,5.4,10.4,N,28,11:38,21.6,50,1,ENE,11,1015.4,30.0,45,1,N,13,1012.2
,2025-06-17,20.3,31.2,0,4.4,10.8,E,37,11:05,22.9,67,1,ESE,17,1016.1,30.8,33,0,SE,13,1012.3
,2025-06-18,19.5,31.6,0,6.4,10.6,E,37,10:31,22.4,54,0,SE,20,1015.1,31.2,44,1,NE,13,1011.5
,2025-06-19,20.7,31.4,0,5.0,10.7,E,35,11:18,23.8,76,1,E,17,1015.2,30.1,45,2,SE,11,1011.5
,2025-06-20,19.9,31.6,0,5.6,10.9,ESE,31,10:22,23.0,67,0,ESE,13,1014.9,30.6,42,2,N,6,1011.9
,2025-06-21,20.8,32.5,0,5.4,9.8,E,39,10:42,24.8,67,0,ESE,13,1015.2,31.7,43,3,E,7,1011.0
,2025-06-22,21.0,30.5,0,5.0,7.4,E,30,10:50,21.8,78,,E,17,1014.7,29.4,44,,E,11,1013.7
,2025-06-23,18.8,30.2,0,4.8,3.4,ENE,26,11:47,18.8,99,,SSE,2,1013.2,28.6,56,7,SSW,17,1011.3
,2025-06-24,21.8,33.3,0,4.0,9.6,ESE,35,12:16,25.3,64,5,ESE,15,1014.7,31.5,44,6,ENE,7,1011.7
,2025-06-25,22.6,33.3,0,4.6,10.3,E,43,12:10,25.8,64,2,ESE,15,1015.5,33.1,42,6,E,20,1012.5
,2025-06-26,23.9,32.2,0,9.0,8.9,SE,43,11:28,24.6,42,7,ESE,20,1016.6,31.7,28,3,ESE,22,1012.8
,2025-06-27,20.8,31.0,0,9.8,10.9,SE,41,09:27,23.1,32,1,SE,20,1015.5,30.1,30,1,SSE,17,1012.4
,2025-06-28,19.3,31.1,0,8.8,9.6,SE,41,09:35,21.7,42,3,SE,19,1015.8,30.3,26,2,S,13,1012.3
,2025-06-29,20.8,29.6,0,12.0,8.7,ESE,46,09:31,21.8,35,7,SE,26,1014.8,28.6,29,5,SE,24,1011.2
,2025-06-30,19.4,30.4,0,9.4,10.5,ESE,44,10:36,21.5,42,1,SE,28,1015.0,29.7,34,,ESE,17,1011.9
