"Daily Weather Observations for Tindal RAAF, Northern Territory for November 2023"
"Prepared at 13:03 UTC on Tuesday 12 November 2024   IDCJDW8048.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Tindal RAAF {station 014932}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,26.8,38.6,0,,,NW,31,00:30,29.4,58,,N,9,1013.8,38.4,24,,E,19,1009.0
,2023-11-2,23.2,41.0,0,,,ENE,43,15:29,30.6,61,,NW,7,1012.4,40.9,15,1,E,19,1006.9
,2023-11-3,23.6,42.2,0,,,E,41,13:44,30.5,61,,NW,7,1011.8,41.1,15,,E,20,1005.6
,2023-11-4,26.1,40.5,0,,,ENE,30,16:46,31.0,55,,NNW,15,1010.9,39.5,22,,E,9,1006.3
,2023-11-5,28.2,40.4,0,,,W,46,03:01,31.1,56,,NNW,13,1012.4,38.4,25,1,ENE,7,1007.1
,2023-11-6,27.2,38.1,0,,,S,37,15:52,29.9,64,,W,15,1012.7,37.0,34,3,WNW,9,1007.3
,2023-11-7,24.1,41.5,0,,,NNW,43,22:15,31.0,60,,WNW,13,1011.1,40.1,18,,S,9,1005.6
,2023-11-8,26.0,39.4,0,,,NNW,35,00:13,30.9,59,,WNW,15,1011.1,38.4,31,1,NW,13,1005.3
,2023-11-9,27.9,38.4,0,,,N,35,06:07,30.6,57,,NNW,19,1011.7,37.4,32,1,W,13,1006.2
,2023-11-10,22.2,34.6,4.8,,,SSW,43,03:34,24.1,90,7,ENE,13,1013.7,33.8,43,1,W,9,1008.7
,2023-11-11,24.1,37.1,0.2,,,NE,44,15:42,30.1,59,,NW,11,1013.2,36.2,35,3,W,13,1007.9
,2023-11-12,21.6,31.8,33.8,,,WNW,48,06:22,24.4,89,8,NE,2,1014.5,29.5,56,5,SE,6,1010.8
,2023-11-13,24.4,37.3,0.4,,,SE,31,17:10,28.3,71,6,W,9,1013.0,35.6,38,7,WNW,15,1007.6
,2023-11-14,25.3,37.0,0,,,,,,30.3,63,,WNW,13,1012.3,36.9,40,1,NW,13,1006.6
,2023-11-15,25.0,37.3,,,,SSE,31,16:22,29.6,64,,NNW,4,1012.6,36.7,28,2,SE,11,1007.6
,2023-11-16,25.2,39.6,0,,,SE,31,13:35,30.8,65,1,NW,20,1011.8,38.4,23,1,ESE,11,1006.8
,2023-11-17,25.3,39.9,0,,,WNW,30,08:45,31.2,62,2,NW,20,1010.9,39.0,26,,N,7,1006.3
,2023-11-18,26.7,40.2,0,,,NE,39,14:49,31.1,59,,WNW,17,1011.0,38.3,27,4,N,13,1006.2
,2023-11-19,27.1,40.6,0,,,NW,80,23:10,31.7,55,,WNW,15,1011.4,39.8,26,1,SSW,9,1006.8
,2023-11-20,25.5,30.0,12.2,,,S,30,11:42,29.6,68,8,NE,2,1013.2,25.9,87,8,SE,15,1011.1
,2023-11-21,24.2,37.4,6.0,,,ESE,28,15:57,26.7,81,7, ,Calm,1012.9,36.3,34,1,ESE,17,1008.1
,2023-11-22,26.2,38.2,0,,,E,26,13:05,30.9,56,,N,11,1012.1,37.8,27,1,NNE,9,1006.8
,2023-11-23,25.4,37.6,0,,,SSE,48,17:21,30.2,62,8,NW,13,1010.2,36.9,37,3,N,13,1003.9
,2023-11-24,22.9,36.5,19.2,,,WNW,30,11:02,27.5,70,,NW,13,1009.1,35.3,40,,WSW,13,1005.2
,2023-11-25,26.0,37.8,0,,,N,46,21:36,30.1,67,,NW,9,1009.8,36.1,38,1,N,7,1004.1
,2023-11-26,21.6,34.0,57.6,,,SSW,54,05:49,24.7,83,,S,4,1010.9,33.1,52,4,WNW,15,1005.2
,2023-11-27,24.6,35.5,0.2,,,WNW,28,14:19,28.0,75,8,WSW,19,1010.6,34.3,45,,NW,13,1005.5
,2023-11-28,25.5,38.9,0,,,E,22,16:15,30.3,70,,NW,13,1010.1,37.7,32,,SE,9,1005.4
,2023-11-29,26.8,37.3,0,,,NE,39,16:35,30.9,67,3,NW,19,1010.0,37.0,39,3,W,13,1005.4
,2023-11-30,26.2,37.8,0,,,S,33,16:03,32.0,60,,SW,7,1010.0,37.1,41,,ESE,6,1005.0
