"Daily Weather Observations for Tindal RAAF, Northern Territory for August 2024"
"Prepared at 13:04 UTC on Tuesday 12 August 2025   IDCJDW8048.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Tindal RAAF base is 14 km ESE of Katherine. Meteorological observations at Tindal RAAF are used to represent conditions in Katherine."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Tindal RAAF {station 014932}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,15.2,31.3,0,,,NE,37,12:43,20.4,77,,ESE,20,1019.7,29.2,38,1,ESE,19,1014.8
,2024-08-2,15.0,31.5,0,,,ESE,35,13:56,21.4,66,,ESE,17,1018.1,31.3,30,,E,20,1013.8
,2024-08-3,13.1,32.1,0,,,E,39,12:13,20.7,77,,ESE,17,1018.2,31.3,27,,N,17,1012.9
,2024-08-4,16.4,32.2,0,,,E,30,11:13,23.7,68,,ENE,4,1017.4,30.8,30,,SE,11,1012.9
,2024-08-5,15.9,32.9,0,,,SSE,43,00:17,23.5,68,,NE,9,1016.8,31.8,30,,E,15,1012.5
,2024-08-6,16.3,33.3,0,,,E,44,12:20,23.1,68,,E,13,1017.6,32.6,26,,ESE,22,1013.2
,2024-08-7,17.5,33.7,0,,,E,43,14:34,23.6,63,,ESE,19,1018.2,33.1,26,,SE,24,1013.6
,2024-08-8,15.4,32.0,0,,,SSE,48,19:19,22.8,56,,ESE,17,1019.2,31.0,19,,SSE,20,1015.2
,2024-08-9,11.6,31.5,0,,,SE,35,11:41,18.7,44,,SE,11,1018.2,31.0,18,,ENE,19,1012.6
,2024-08-10,13.9,33.0,0,,,E,41,12:31,21.7,44,,SE,11,1016.3,31.8,24,,ESE,17,1012.0
,2024-08-11,14.2,32.7,0,,,ESE,44,12:07,22.1,50,,ESE,13,1016.3,32.0,21,,E,19,1011.8
,2024-08-12,13.5,32.2,0,,,E,46,12:48,21.3,49,,SE,13,1016.2,31.4,17,,SE,20,1011.6
,2024-08-13,12.7,32.3,0,,,SE,41,14:01,22.2,64,,SE,9,1016.1,31.5,30,,SE,13,1011.4
,2024-08-14,14.8,32.3,0,,,S,26,13:04,23.4,44,,E,9,1016.2,31.1,22,,SE,15,1011.0
,2024-08-15,13.9,32.8,0,,,SSE,30,13:25,21.6,44,,SE,9,1015.3,32.1,19,,SSE,9,1010.5
,2024-08-16,14.2,33.7,0,,,ESE,31,12:34,22.6,45,,ESE,7,1014.8,32.7,20,,SE,13,1009.8
,2024-08-17,14.3,34.3,0,,,ESE,39,12:06,22.2,47,,SE,7,1015.3,32.8,20,,E,15,1010.7
,2024-08-18,15.4,34.9,0,,,E,26,12:19,24.3,65,,N,7,1015.3,33.7,23,,SSE,9,1010.0
,2024-08-19,16.0,35.5,0,,,SE,31,15:29,24.5,56,,WNW,7,1015.9,34.5,20,,NE,9,1010.6
,2024-08-20,16.6,35.6,0,,,E,41,12:57,25.8,44,,W,2,1016.5,34.6,18,,E,19,1011.4
,2024-08-21,16.7,35.6,0,,,SE,35,14:33,26.2,51,,WNW,7,1017.1,35.1,29,,ESE,15,1012.0
,2024-08-22,18.4,36.5,0,,,ESE,44,11:32,26.1,61,,E,7,1015.0,35.1,23,,SE,17,1010.6
,2024-08-23,19.0,36.7,0,,,ESE,35,13:15,26.9,58,,SE,9,1016.8,35.6,20,,E,17,1011.4
,2024-08-24,18.4,37.0,0,,,ESE,37,11:04,27.2,59,,ENE,9,1015.7,35.2,30,1,ESE,15,1011.1
,2024-08-25,18.2,36.9,0,,,SE,50,13:16,27.1,47,,SE,6,1015.1,36.1,23,,SE,15,1009.8
,2024-08-26,18.9,,0,,,,,,27.3,49,,E,9,1014.0,36.5,18,,ESE,26,1009.8
,2024-08-27,18.5,36.7,,,,SE,50,12:45,26.5,48,,E,13,1015.2,36.2,22,,E,20,1010.1
,2024-08-28,17.0,35.4,0,,,ESE,43,14:39,25.3,57,,SE,7,1016.5,34.4,26,,E,20,1011.0
,2024-08-29,18.0,36.1,0,,,E,41,10:24,26.7,54,,ESE,7,1014.9,35.1,26,,ESE,20,1009.5
,2024-08-30,18.6,36.5,0,,,SE,46,13:38,26.3,64,,NW,11,1014.0,35.5,23,,ENE,15,1009.0
,2024-08-31,21.2,36.9,0,,,E,35,15:06,27.1,69,,NNW,15,1013.8,36.3,26,,E,19,1008.1
