"Daily Weather Observations for Tindal RAAF, Northern Territory for January 2025"
"Prepared at 16:04 UTC on Thursday  7 August 2025   IDCJDW8048.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Tindal RAAF base is 14 km ESE of Katherine. Meteorological observations at Tindal RAAF are used to represent conditions in Katherine."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Tindal RAAF {station 014932}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,25.1,39.6,0.2,,,NNW,22,00:33,29.5,75,,WSW,11,1008.2,37.6,38,,E,6,1004.6
,2025-01-2,,38.1,0,,,WNW,31,20:39,30.1,71,,W,13,1008.5,36.3,50,2,NW,9,1004.8
,2025-01-3,,38.1,0,,,ESE,30,15:30,28.5,63,,NW,4,1006.6,36.4,42,4,E,9,1003.7
,2025-01-4,,37.6,1.0,,,ESE,35,16:02,29.0,65,, ,Calm,1008.2,36.7,32,,ENE,13,1004.1
,2025-01-5,25.6,37.3,0.2,,,NNE,43,21:39,30.0,69,,NW,6,1009.3,34.9,45,8,N,6,1005.5
,2025-01-6,24.1,38.0,0,,,NE,48,21:00,28.7,68,,N,6,1009.7,36.7,39,1,ESE,9,1006.3
,2025-01-7,23.0,35.5,0,,,E,57,21:57,26.5,78,8, ,Calm,1010.7,34.2,51,1,W,4,1006.6
,2025-01-8,22.1,35.2,30.6,,,NE,22,12:03,25.9,85,6,WSW,2,1010.2,33.6,58,5,SSW,7,1006.4
,2025-01-9,25.0,36.5,0,,,NNW,30,20:48,29.9,70,2,NNW,4,1009.8,34.6,55,8,NE,4,1006.2
,2025-01-10,,35.7,0.2,,,S,19,09:54,28.1,74,1,SSW,4,1012.9,33.2,57,8,N,6,1007.3
,2025-01-11,25.9,37.3,0,,,NNE,72,18:31,29.6,77,,W,19,1010.0,35.8,53,3,NW,11,1006.1
,2025-01-12,23.9,35.9,0.6,,,W,28,12:31,29.6,81,,WNW,7,1009.0,34.0,59,1,WSW,6,1005.6
,2025-01-13,24.9,37.9,0.2,,,NE,63,22:12,30.4,69,,WNW,11,1008.4,35.9,48,2,NW,13,1003.5
,2025-01-14,23.2,36.3,39.6,,,NW,50,19:00,27.6,81,, ,Calm,1008.2,35.5,54,7,WNW,9,1004.6
,2025-01-15,,37.2,0,,,E,46,22:40,29.5,79,3,W,13,1007.2,35.6,51,,NW,9,1002.0
,2025-01-16,,35.6,89.8,,,N,43,18:12,25.6,91,6,NNE,4,1007.5,34.1,55,6,SSW,4,1003.0
,2025-01-17,,32.2,28.8,,,WNW,28,16:18,25.9,93,7, ,Calm,1007.9,30.3,72,8,SW,13,1005.1
,2025-01-18,,31.4,0.8,,,WNW,20,12:59,25.8,89,8,NW,2,1009.3,30.1,65,6,WNW,11,1005.8
,2025-01-19,,35.3,1.8,,,NNW,31,16:45,28.2,78,,W,11,1006.4,34.4,49,,WSW,9,1003.4
,2025-01-20,,37.7,0,,,SE,31,14:36,27.7,85,8,W,15,1006.2,36.0,54,,SSE,15,1002.7
,2025-01-21,,37.3,0,,,NNE,50,17:43,29.3,72,,NNW,11,1007.3,36.0,47,1,NNW,11,1004.2
,2025-01-22,,36.5,10.6,,,S,50,17:31,26.1,87,7,NNW,2,1009.0,34.9,50,,W,4,1006.3
,2025-01-23,,36.8,0.4,,,N,50,16:59,30.4,74,2, ,Calm,1009.3,35.6,49,,ENE,7,1005.4
,2025-01-24,,35.9,24.8,,,S,46,16:12,29.6,73,6,N,9,1008.1,33.1,64,8,NW,6,1003.2
,2025-01-25,,36.3,22.2,,,ENE,76,18:21,26.6,89,8,WNW,11,1008.1,34.8,47,1,W,4,1004.1
,2025-01-26,,37.1,0,,,NNE,28,17:27,29.2,74,8,NW,4,1006.5,35.4,50,7,WNW,6,1003.0
,2025-01-27,,36.8,0,,,S,30,15:45,29.3,75,,W,11,1006.2,35.8,51,3,SSW,2,1002.7
,2025-01-28,,37.4,0,,,NE,33,22:32,29.4,73,5,NW,9,1008.2,36.4,50,,ESE,13,1003.4
,2025-01-29,,36.9,0,,,E,43,16:54,27.8,77,,WNW,6,1007.5,35.3,50,6,NE,9,1003.4
,2025-01-30,,37.9,0,,,NE,31,22:26,28.9,79,,WNW,13,1005.7,36.3,47,4,SSW,6,1001.2
,2025-01-31,,36.0,13.8,,,E,130,20:26,26.9,89,8,S,4,1004.2,34.4,55,,WNW,11,1001.7
