"Daily Weather Observations for Tindal RAAF, Northern Territory for August 2025"
"Prepared at 13:04 UTC on Monday  1 September 2025   IDCJDW8048.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Tindal RAAF base is 14 km ESE of Katherine. Meteorological observations at Tindal RAAF are used to represent conditions in Katherine."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Tindal RAAF {station 014932}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,18.9,30.6,0,,,E,48,10:14,21.0,38,,E,22,1019.0,29.3,26,,E,20,1013.6
,2025-08-2,15.8,26.9,0,,,ENE,50,09:03,18.4,25,,ENE,28,1019.8,26.4,17,,ESE,20,1015.0
,2025-08-3,7.1,27.6,0,,,E,44,10:03,16.7,32,,ENE,20,1018.7,26.1,16,,SE,13,1014.3
,2025-08-4,7.3,29.4,0,,,SE,30,11:34,15.4,64,,SSE,9,1017.1,28.6,18,,ENE,11,1012.9
,2025-08-5,9.0,30.7,0,,,ESE,37,12:25,17.3,41,,SE,17,1017.1,30.3,10,,E,17,1012.5
,2025-08-6,10.3,32.0,0,,,ESE,41,12:45,18.0,35,,SE,9,1015.9,31.3,14,,ENE,17,1011.2
,2025-08-7,12.4,33.5,0,,,E,43,12:42,21.1,38,,ESE,9,1015.6,32.4,20,,NNE,9,1010.9
,2025-08-8,15.4,33.0,0,,,E,35,15:37,21.7,42,,SE,17,1017.1,32.3,24,,ESE,17,1012.8
,2025-08-9,15.2,32.2,0,,,ESE,44,13:38,21.9,50,,SE,17,1018.2,31.5,25,,SE,20,1014.0
,2025-08-10,11.7,30.6,0,,,SE,48,23:52,21.4,42,,ESE,24,1018.4,30.0,19,,SSE,28,1013.1
,2025-08-11,10.5,30.8,0,,,ESE,44,09:48,19.2,37,,SE,15,1016.0,29.9,16,,NE,17,1011.4
,2025-08-12,10.8,31.6,0,,,ESE,39,11:19,19.0,45,,SE,9,1015.3,31.0,18,,SSE,17,1011.5
,2025-08-13,13.6,32.2,0,,,E,41,13:10,21.0,53,,SE,15,1017.1,31.7,31,,ESE,20,1013.2
,2025-08-14,17.2,32.7,0,,,ENE,44,11:53,24.0,55,,SE,19,1017.0,32.6,21,,E,19,1012.7
,2025-08-15,15.4,31.6,0,,,E,41,12:51,22.6,74,,E,15,1016.1,31.2,26,,ESE,13,1011.5
,2025-08-16,13.6,31.4,0,,,ESE,44,12:30,21.5,49,,SE,11,1016.6,30.7,24,,ESE,19,1012.4
,2025-08-17,13.2,31.3,0,,,ESE,46,12:30,21.2,42,,SE,17,1018.0,30.1,15,,SE,20,1013.9
,2025-08-18,11.9,30.0,0,,,ESE,43,09:08,20.5,28,,ESE,24,1020.2,29.5,14,,ESE,19,1015.1
,2025-08-19,9.2,29.6,0,,,ESE,43,09:27,19.6,24,,ESE,15,1020.2,28.5,11,,ESE,19,1014.2
,2025-08-20,10.4,29.9,0,,,ENE,43,12:14,18.8,30,,ESE,19,1017.9,28.8,16,,SE,17,1013.0
,2025-08-21,10.2,31.8,0,,,ESE,33,10:38,19.2,42,,ESE,15,1017.6,31.1,21,,ESE,6,1012.2
,2025-08-22,12.9,33.5,0,,,ESE,35,14:45,22.1,40,,E,11,1016.5,33.2,28,,SE,13,1011.8
,2025-08-23,16.0,35.2,0,,,ESE,39,10:47,25.0,35,,ESE,11,1014.5,34.2,17,,ESE,17,1010.1
,2025-08-24,14.1,35.6,0,,,ENE,41,11:30,23.0,36,,SE,6,1015.7,35.0,13,,ESE,20,1010.6
,2025-08-25,13.5,36.7,0,,,E,33,12:10,22.8,37,,SSW,4,1014.1,36.1,13,,SE,20,1009.4
,2025-08-26,15.2,36.3,0,,,NNE,52,14:03,26.4,50,,NW,4,1013.5,36.1,18,,SSW,11,1008.6
,2025-08-27,16.3,35.5,0,,,WNW,35,11:59,25.2,55,,NNW,9,1012.8,34.9,22,3,WSW,13,1007.7
,2025-08-28,17.6,36.1,,,,,,,24.3,63,,NNW,9,1012.2,34.9,26,,N,11,1008.1
,2025-08-29,21.6,36.8,0,,,ENE,37,13:12,25.8,70,,NNW,9,1013.7,35.8,26,1,ENE,15,1010.1
,2025-08-30,19.7,35.0,0,,,NE,48,14:19,27.4,58,,ENE,6,1016.6,34.4,27,,ENE,24,1012.4
,2025-08-31,20.0,32.8,0,,,ESE,43,09:23,24.1,24,,ESE,20,1018.4,32.1,20,,ESE,20,1013.2
