"Daily Weather Observations for Yulara, Northern Territory for January 2025"
"Prepared at 16:04 UTC on Thursday  7 August 2025   IDCJDW8056.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yulara Airport."
"Yulara Airport is about 20 kilometres away from Uluru. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Yulara Airport {station 015635}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,24.9,39.9,0,,,S,54,13:17,32.4,15,,ENE,30,1012.9,37.7,9,,S,24,1008.6
,2025-01-2,23.7,39.3,0,,,E,50,08:27,31.7,17,,E,35,1013.2,37.8,10,,E,20,1009.1
,2025-01-3,22.0,41.1,0,,,ENE,37,10:08,30.9,15,,ENE,26,1010.8,39.7,8,,SW,17,1005.5
,2025-01-4,20.4,41.7,0,,,NNW,37,09:49,33.6,12,,NNE,13,1007.5,40.6,8,7,W,20,1004.4
,2025-01-5,21.4,43.5,0,,,S,50,18:49,32.8,19,5,E,17,1007.9,41.5,8,6,NNE,9,1004.7
,2025-01-6,28.6,39.9,0,,,ESE,54,11:38,31.7,28,8,SE,33,1012.1,38.4,17,8,E,20,1008.8
,2025-01-7,26.2,37.9,0,,,ESE,39,08:45,29.0,38,7,ESE,26,1012.6,35.6,22,8,ESE,22,1009.2
,2025-01-8,26.5,40.9,0,,,S,50,20:33,31.8,30,8,ENE,24,1010.6,38.2,19,2,ENE,15,1006.5
,2025-01-9,27.0,41.5,0,,,S,50,16:20,34.9,27,,SE,11,1008.9,40.8,18,6,NNE,17,1005.0
,2025-01-10,25.9,41.8,0,,,WSW,57,16:59,34.4,30,,ENE,17,1009.4,35.0,26,8,NW,33,1006.4
,2025-01-11,24.6,43.3,0,,,SW,74,16:52,31.6,41,,N,9,1007.2,41.3,17,,W,19,1002.0
,2025-01-12,22.8,39.6,0.4,,,N,30,03:54,29.8,35,,SSE,15,1007.6,37.3,21,3,SSW,11,1004.1
,2025-01-13,25.7,42.5,0,,,E,43,10:22,34.9,20,,E,22,1005.9,41.5,12,4,NE,15,1001.9
,2025-01-14,22.6,43.5,0,,,NNW,120,18:06,36.6,13,,NE,28,1004.8,41.6,17,,W,15,999.8
,2025-01-15,21.0,38.4,17.2,,,E,43,17:13,28.3,62,,S,22,1005.9,36.9,28,1,ESE,11,1003.1
,2025-01-16,23.5,38.2,0,,,ENE,56,12:38,29.0,24,,ESE,28,1009.4,36.5,18,,ENE,28,1005.4
,2025-01-17,24.5,38.7,0,,,E,48,08:08,29.1,17,,E,37,1009.4,36.8,12,,NE,19,1004.7
,2025-01-18,23.0,40.7,0,,,ENE,43,08:29,30.9,16,,ENE,30,1008.9,39.0,10,,ESE,9,1004.4
,2025-01-19,22.1,41.7,0,,,E,46,16:26,32.3,11,,E,30,1008.4,40.2,5,,ESE,28,1005.0
,2025-01-20,23.7,41.9,0,,,ESE,46,12:23,34.1,14,,E,24,1008.3,40.8,9,,ENE,19,1004.7
,2025-01-21,22.4,43.4,0,,,ENE,50,15:42,34.5,14,,ESE,11,1007.8,42.4,8,,E,20,1003.8
,2025-01-22,25.6,43.7,0,,,ESE,43,08:13,35.7,14,,ESE,30,1008.1,42.3,9,,SSW,17,1004.2
,2025-01-23,25.9,44.3,0,,,ESE,44,13:39,35.0,18,,E,22,1008.6,42.8,10,,ESE,11,1004.3
,2025-01-24,26.7,43.6,0,,,NE,44,11:18,34.6,16,,ENE,28,1009.2,42.5,10,,SSE,13,1004.5
,2025-01-25,26.5,42.8,0,,,E,39,08:27,32.6,20,,E,26,1008.6,41.5,12,,ENE,9,1002.6
,2025-01-26,24.9,43.4,0,,,E,43,11:39,33.0,11,,ENE,31,1005.3,41.7,8,,ENE,11,1000.8
,2025-01-27,26.7,44.4,0,,,S,54,23:18,35.4,8,,NE,17,1004.6,42.8,15,,WNW,11,1001.9
,2025-01-28,25.8,41.5,0,,,SSE,43,00:48,30.1,36,,ESE,22,1010.7,40.4,18,,ESE,22,1007.2
,2025-01-29,25.8,41.2,0,,,ENE,52,13:37,30.5,16,,ESE,28,1011.7,40.4,15,,E,19,1006.8
,2025-01-30,23.9,40.4,0,,,ESE,44,08:58,30.6,16,,ESE,28,1009.2,38.8,12,,SSE,17,1004.9
,2025-01-31,23.3,40.2,0,,,E,46,09:56,29.9,15,,E,31,1008.2,38.8,11,,E,15,1004.0
