"Daily Weather Observations for Yulara, Northern Territory for May 2025"
"Prepared at 13:04 UTC on Sunday 17 August 2025   IDCJDW8056.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yulara Airport."
"Yulara Airport is about 20 kilometres away from Uluru. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Yulara Airport {station 015635}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,12.3,25.0,0,,,E,48,12:07,17.2,42,,ESE,22,1025.2,24.1,23,,ESE,22,1022.2
,2025-05-2,8.3,25.7,0,,,ENE,56,10:31,15.9,44,,E,22,1025.3,24.7,21,,E,28,1020.5
,2025-05-3,8.9,25.7,0,,,E,43,09:53,15.3,41,,E,20,1024.1,24.7,19,,E,22,1018.7
,2025-05-4,9.5,28.4,0,,,ENE,28,11:12,16.5,37,,ESE,13,1021.1,27.1,20,,ESE,9,1017.1
,2025-05-5,9.1,29.7,0,,,SE,30,17:07,17.7,44,,SSE,11,1022.3,28.7,14,,SE,9,1018.6
,2025-05-6,9.7,29.6,0,,,ESE,35,15:23,18.2,40,,SSE,9,1022.4,28.7,20,,SE,17,1018.4
,2025-05-7,11.1,29.6,0,,,ESE,39,14:59,19.4,44,,SSE,7,1021.4,29.1,19,,E,26,1018.5
,2025-05-8,15.6,26.6,0,,,E,46,15:54,18.4,49,,ESE,30,1025.2,25.8,28,,E,24,1020.9
,2025-05-9,14.4,26.6,0,,,E,44,10:19,17.5,53,,E,26,1025.6,25.5,28,,E,22,1020.8
,2025-05-10,10.2,25.3,0,,,ENE,41,16:25,15.7,41,,ESE,20,1023.6,24.5,18,,ESE,17,1019.1
,2025-05-11,8.4,26.9,0,,,E,43,10:59,15.1,32,,ESE,15,1021.7,25.9,24,,E,22,1018.1
,2025-05-12,11.9,26.3,0,,,ESE,44,10:48,17.5,46,,ESE,20,1021.9,25.2,27,,ENE,11,1018.3
,2025-05-13,12.5,26.2,0,,,ENE,35,11:08,17.7,43,,ESE,17,1022.8,25.1,26,,ESE,15,1019.1
,2025-05-14,9.9,26.1,0,,,E,44,13:05,18.0,39,,SE,11,1023.2,25.1,21,,SSE,19,1020.5
,2025-05-15,11.0,23.5,0,,,ESE,35,11:48,15.6,50,,SSE,20,1023.9,22.9,26,,SE,20,1019.3
,2025-05-16,7.2,22.3,0,,,SE,31,10:13,13.8,56,,S,13,1023.5,21.7,32,2,E,9,1019.4
,2025-05-17,7.5,22.5,0,,,SE,33,10:45,15.1,48,,SSE,17,1024.7,21.1,24,,SE,19,1021.2
,2025-05-18,8.6,21.7,0,,,E,46,11:17,14.0,60,,ESE,19,1026.8,21.4,30,,ESE,24,1023.4
,2025-05-19,7.5,20.1,0,,,E,44,10:49,11.9,54,,E,22,1025.9,19.8,29,,E,26,1021.8
,2025-05-20,3.3,20.0,0,,,ESE,33,10:17,8.5,38,,ESE,17,1025.4,19.1,16,,E,20,1021.4
,2025-05-21,6.8,21.8,0,,,E,52,13:21,12.0,44,,ESE,22,1025.5,21.0,23,,ESE,26,1021.0
,2025-05-22,7.5,21.7,0,,,ESE,39,10:58,13.3,41,,ESE,17,1022.2,21.1,25,,ENE,17,1017.0
,2025-05-23,4.2,23.4,0,,,NNW,26,13:57,11.5,46,,ESE,7,1017.5,22.6,24,,W,7,1012.3
,2025-05-24,5.2,27.0,0,,,W,37,14:18,13.9,38,,E,4,1015.2,26.6,19,,WNW,17,1012.4
,2025-05-25,11.1,29.1,0,,,NW,41,14:01,15.6,35,8,SSE,6,1014.3,28.0,24,5,NW,24,1010.7
,2025-05-26,15.6,24.2,0,,,S,30,09:52,17.7,30,8,S,17,1017.1,23.7,17,3,S,9,1015.4
,2025-05-27,12.4,12.5,0.2,,,E,33,15:49,12.4,66,8,ENE,17,1023.0,10.5,90,8,E,22,1021.9
,2025-05-28,9.3,12.4,13.4,,,E,43,11:35,9.9,95,8,ESE,19,1024.4,12.0,89,8,E,22,1022.0
,2025-05-29,8.6,18.9,2.8,,,ESE,35,11:30,11.3,86,,ESE,15,1024.8,18.7,47,1,E,17,1022.2
,2025-05-30,6.2,19.1,0,,,E,31,15:39,10.1,75,,ESE,13,1025.8,18.2,40,,ESE,17,1022.4
,2025-05-31,4.6,19.2,0,,,ENE,26,11:11,9.1,86,,ESE,9,1024.3,18.3,40,,ENE,13,1020.3
