"Daily Weather Observations for Yulara, Northern Territory for July 2025"
"Prepared at 13:04 UTC on Thursday 21 August 2025   IDCJDW8056.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Yulara Airport."
"Yulara Airport is about 20 kilometres away from Uluru. Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Yulara Airport {station 015635}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,1.5,19.8,0,,,ENE,33,11:24,7.6,63,,SE,11,1027.1,18.5,28,,E,15,1023.1
,2025-07-2,1.5,22.0,0,,,E,20,10:59,8.0,59,,SE,11,1023.8,20.9,18,,NE,7,1020.3
,2025-07-3,1.3,23.8,0,,,NNW,31,14:48,8.3,51,,SSE,9,1019.5,23.4,15,,NNW,19,1014.8
,2025-07-4,1.7,24.6,0,,,NW,50,16:12,10.4,36,,NW,11,1013.8,24.1,19,,WNW,28,1010.6
,2025-07-5,7.0,19.5,0,,,SW,33,00:52,11.1,70,,S,7,1020.4,19.3,29,,WSW,15,1019.1
,2025-07-6,0.4,20.4,0,,,E,22,09:52,8.2,56,,SSE,7,1025.0,19.6,26,,NE,11,1021.7
,2025-07-7,1.2,25.1,0,,,NW,33,13:35,8.3,51,,SSE,6,1022.4,24.2,17,,NW,22,1017.0
,2025-07-8,3.9,23.3,0,,,S,30,12:44,10.9,47,, ,Calm,1017.1,22.2,34,,SSW,15,1014.6
,2025-07-9,7.5,18.8,0,,,SSW,35,10:10,9.1,46,7,SSW,15,1019.8,18.1,23,,SSW,22,1016.5
,2025-07-10,1.5,17.6,0,,,SE,46,11:10,8.7,62,,SSE,19,1024.6,16.8,28,,SE,17,1021.4
,2025-07-11,5.6,19.5,0,,,E,43,14:51,8.2,53,8,ESE,9,1025.6,18.8,26,,ENE,28,1021.8
,2025-07-12,3.3,21.5,0,,,ENE,22,09:48,7.7,60,,ESE,13,1025.2,20.6,21,,N,7,1021.1
,2025-07-13,2.8,26.5,0,,,SSW,20,05:25,8.7,40,,SSE,6,1023.1,25.2,15,,SSW,7,1018.9
,2025-07-14,4.5,27.8,0,,,WNW,39,15:33,10.9,40,,S,6,1019.8,27.0,11,,NW,22,1014.3
,2025-07-15,10.3,20.1,0,,,SW,50,02:15,13.9,58,5,S,26,1018.9,19.4,29,,SE,22,1017.5
,2025-07-16,6.8,19.6,0,,,E,33,10:28,9.6,70,7,E,17,1021.4,18.6,36,,ENE,11,1017.5
,2025-07-17,2.9,20.2,0,,,E,35,11:18,10.7,59,,SE,17,1021.7,19.2,30,,SE,19,1018.7
,2025-07-18,3.8,20.9,0,,,ENE,39,10:50,9.4,52,,ESE,11,1021.5,20.1,19,,NE,19,1016.2
,2025-07-19,1.8,21.8,0,,,N,43,14:15,8.4,45,,SSE,11,1019.6,21.1,16,,E,11,1015.4
,2025-07-20,2.3,23.4,0,,,NNE,26,16:27,8.8,38,,SE,13,1018.9,22.7,16,,NNE,11,1014.5
,2025-07-21,7.9,23.0,0,,,WNW,56,17:54,11.1,38,7,SSW,7,1011.8,22.3,29,8,NW,37,1007.1
,2025-07-22,0.1,15.8,0,,,S,43,01:30,6.5,75,,SE,7,1018.9,14.7,24,,SSE,9,1016.3
,2025-07-23,-2.1,19.4,0,,,ENE,43,11:23,6.9,41,,ESE,9,1019.9,18.7,20,3,NNE,15,1015.4
,2025-07-24,6.9,26.8,0,,,NNW,74,16:54,12.0,33,2,E,11,1011.5,25.4,29,2,NNW,46,1004.7
,2025-07-25,10.6,16.0,24.0,,,WSW,46,10:20,11.5,63,1,W,24,1010.6,15.4,44,,W,26,1011.8
,2025-07-26,3.2,15.7,0,,,SSW,37,08:47,8.6,64,6,SSW,24,1020.7,14.4,38,,S,13,1018.3
,2025-07-27,1.6,17.6,0,,,ENE,39,12:10,7.8,76,,ESE,11,1021.1,16.3,37,,NE,17,1016.2
,2025-07-28,7.8,22.5,0,,,WNW,54,14:59,12.3,63,7,NE,15,1010.4,21.9,29,2,NW,33,1007.2
,2025-07-29,7.0,17.2,0,,,SW,39,00:38,10.2,60,,SW,17,1016.8,16.3,28,,SW,19,1015.6
,2025-07-30,1.1,18.1,0,,,ENE,28,12:30,7.1,59,,S,9,1022.6,16.7,22,,ENE,7,1020.1
,2025-07-31,3.3,17.7,0,,,SE,31,11:26,9.2,66,,SE,13,1025.3,16.6,29,,SSW,17,1022.1
